Age,Gender,Marital Status,Employment,Income (₹),FD Amount (₹),FD Tenure (yrs),Credit Score,Base Rate (%),BPS Adjustment (%),Base Rate Type
84,Male,Single,Retired,1805125,617766,9,801,6.75,1.04,Fixed
45,Male,Married,Self-Employed,178923,269626,5,449,6.75,0.74,Floating
61,Male,Single,Retired,97467,661054,3,624,6.75,0.52,Floating
58,Male,Single,Salaried,883541,455020,8,579,6.75,0.02,Fixed
80,Female,Single,Retired,1407909,487406,4,588,6.75,1.08,Fixed
40,Male,Married,Salaried,1512317,389462,1,875,6.75,0.99,Floating
65,Male,Single,Retired,1120034,518084,9,853,6.75,1.24,Fixed
49,Male,Married,Self-Employed,1407020,512666,4,501,6.75,0.15,Fixed
74,Female,Single,Retired,1757493,658913,2,871,6.75,0.59,Floating
50,Male,Married,Salaried,606118,596388,3,661,6.75,0.81,Floating
41,Male,Single,Self-Employed,1733551,764012,6,606,6.75,0.81,Fixed
56,Female,Married,Salaried,1748786,747752,9,676,6.75,0.46,Fixed
51,Male,Married,Salaried,724019,950125,6,364,6.75,0.04,Fixed
73,Male,Single,Retired,525424,705775,4,833,6.75,1.27,Fixed
45,Female,Married,Salaried,1378921,543164,1,577,6.75,0.41,Fixed
54,Female,Married,Salaried,1995330,839807,2,773,6.75,0.82,Floating
24,Male,Married,Salaried,577769,537753,7,747,6.75,0.14,Floating
85,Male,Single,Retired,1960161,586945,3,682,6.75,0.96,Fixed
54,Female,Married,Salaried,519762,256385,2,323,6.75,0.53,Fixed
73,Male,Married,Retired,890020,229971,6,841,6.75,0.87,Floating
82,Female,Married,Retired,435271,709873,4,339,6.75,1.49,Floating
82,Male,Single,Retired,1215375,902418,1,380,6.75,1.26,Floating
64,Male,Married,Retired,1067827,661548,9,883,6.75,1.33,Fixed
37,Male,Married,Self-Employed,1024835,682508,9,781,6.75,0.24,Fixed
36,Female,Married,Salaried,686158,701828,5,542,6.75,0.38,Floating
46,Female,Married,Salaried,786367,510959,8,617,6.75,0.11,Floating
77,Female,Single,Retired,966761,218687,6,749,6.75,1.5,Floating
35,Female,Single,Salaried,869477,692071,7,831,6.75,0.26,Floating
52,Male,Married,Salaried,978656,128630,6,418,6.75,0.1,Floating
60,Male,Married,Retired,251740,647566,7,878,6.75,0.71,Fixed
28,Female,Married,Salaried,75434,925958,3,805,6.75,0.57,Floating
66,Female,Single,Retired,1173486,586458,3,724,6.75,0.8400000000000001,Floating
55,Female,Married,Salaried,1189797,657621,3,531,6.75,0.16,Floating
81,Female,Single,Retired,1117170,826587,6,875,6.75,0.97,Floating
86,Male,Married,Retired,1263879,456078,1,601,6.75,1.17,Fixed
25,Male,Married,Salaried,773643,948173,9,743,6.75,0.66,Fixed
51,Female,Married,Salaried,824150,807104,9,838,6.75,0.01,Floating
65,Male,Single,Retired,760944,540980,4,485,6.75,1.26,Floating
73,Male,Single,Retired,94939,159047,2,451,6.75,0.74,Fixed
82,Female,Married,Retired,1287381,469409,7,834,6.75,1.42,Floating
48,Male,Married,Salaried,1392670,466041,7,819,6.75,0.14,Fixed
21,Female,Married,Salaried,1465927,597322,6,513,6.75,0.4,Floating
67,Male,Single,Retired,844607,937920,8,786,6.75,0.81,Floating
86,Female,Married,Retired,641235,806066,3,712,6.75,0.99,Floating
47,Female,Married,Salaried,764745,567817,2,618,6.75,0.31,Floating
76,Male,Married,Retired,742249,423767,1,702,6.75,1.27,Floating
84,Male,Single,Retired,1732,49424,3,835,6.75,0.88,Floating
62,Male,Married,Retired,1148571,730257,8,338,6.75,0.85,Floating
21,Male,Married,Salaried,1421831,609449,8,456,6.75,0.97,Floating
43,Male,Married,Salaried,1108308,806861,7,535,6.75,0.4,Fixed
44,Male,Single,Salaried,1011274,613396,2,719,6.75,0.13,Floating
63,Male,Married,Retired,686372,332027,3,777,6.75,0.77,Floating
81,Male,Married,Retired,1381013,652287,7,678,6.75,1.22,Floating
68,Male,Married,Retired,956164,604726,8,424,6.75,0.76,Floating
67,Female,Married,Retired,390632,803692,9,768,6.75,1.1800000000000002,Floating
23,Male,Married,Salaried,1661587,424469,6,447,6.75,0.91,Floating
76,Female,Single,Retired,1323337,321383,3,581,6.75,0.87,Floating
32,Female,Married,Salaried,1827457,557940,9,450,6.75,0.19,Floating
47,Female,Married,Salaried,1581405,493990,5,688,6.75,0.72,Floating
59,Female,Married,Salaried,688495,347941,4,776,6.75,0.44,Fixed
54,Male,Married,Salaried,857455,343420,9,303,6.75,0.05,Fixed
59,Female,Married,Salaried,1505772,886593,2,461,6.75,0.58,Floating
52,Male,Single,Salaried,412363,492040,4,741,6.75,0.58,Fixed
23,Female,Married,Salaried,1827946,855485,6,425,6.75,0.68,Fixed
85,Female,Single,Retired,1163736,1155884,6,415,6.75,1.24,Floating
35,Male,Married,Salaried,1413979,454617,5,839,6.75,0.65,Floating
46,Male,Married,Salaried,1161492,309947,7,436,6.75,0.34,Floating
76,Male,Married,Retired,1026694,218008,5,486,6.75,1.3399999999999999,Floating
64,Female,Married,Retired,854823,848577,6,777,6.75,1.44,Fixed
34,Male,Married,Salaried,926748,484620,1,700,6.75,0.3,Floating
39,Male,Married,Salaried,335370,556384,8,679,6.75,0.28,Floating
85,Male,Married,Retired,1281379,419940,5,332,6.75,1.01,Floating
86,Male,Married,Retired,2089366,993132,5,312,6.75,1.49,Floating
54,Female,Married,Salaried,585404,1314031,6,595,6.75,0.16,Floating
66,Female,Married,Retired,265940,338012,6,553,6.75,0.99,Floating
30,Male,Single,Salaried,1784383,82946,8,658,6.75,0.19,Floating
51,Male,Married,Salaried,1188795,507753,4,313,6.75,0.41,Floating
70,Male,Married,Retired,1452331,366579,4,563,6.75,0.88,Floating
68,Male,Married,Retired,1251650,732931,3,459,6.75,1.0699999999999998,Fixed
20,Female,Single,Salaried,536331,526057,9,624,6.75,0.03,Fixed
59,Male,Married,Salaried,1454428,868639,8,344,6.75,0.81,Fixed
49,Male,Single,Salaried,753506,85049,5,752,6.75,0.71,Floating
68,Female,Married,Retired,587013,697154,8,632,6.75,1.5,Floating
63,Female,Married,Retired,1319216,937158,6,849,6.75,0.76,Floating
38,Male,Married,Salaried,1086387,406777,5,403,6.75,0.87,Fixed
61,Male,Single,Retired,1206567,402334,9,454,6.75,1.1099999999999999,Fixed
28,Male,Single,Salaried,1188732,391711,9,380,6.75,0.23,Floating
85,Female,Single,Retired,1415149,361254,8,478,6.75,0.8,Fixed
18,Female,Married,Salaried,1648356,854533,3,698,6.75,0.02,Floating
80,Male,Single,Retired,1105769,246052,9,617,6.75,0.8400000000000001,Floating
41,Male,Married,Salaried,1722299,707085,6,329,6.75,0.9,Floating
30,Female,Single,Salaried,1565845,66310,9,459,6.75,0.08,Fixed
28,Female,Married,Salaried,1369888,145732,1,733,6.75,0.93,Floating
68,Female,Single,Retired,712621,554032,1,306,6.75,0.88,Floating
34,Male,Single,Salaried,1489852,198042,6,744,6.75,0.74,Floating
41,Male,Married,Salaried,1213787,185282,4,608,6.75,0.66,Floating
36,Male,Married,Salaried,328838,876123,5,889,6.75,0.67,Floating
54,Male,Married,Salaried,407870,661439,5,677,6.75,0.55,Fixed
25,Male,Married,Salaried,392513,529004,3,486,6.75,0.46,Floating
45,Male,Married,Salaried,403420,706796,9,650,6.75,0.93,Fixed
22,Male,Single,Salaried,452179,94410,1,327,6.75,0.68,Fixed
34,Female,Married,Salaried,1418261,230331,6,789,6.75,0.61,Floating
53,Male,Married,Salaried,1041080,583488,2,643,6.75,0.42,Floating
36,Female,Married,Salaried,1441410,74387,2,805,6.75,0.23,Fixed
81,Male,Married,Retired,440002,84833,9,495,6.75,0.5,Floating
28,Female,Married,Salaried,229076,410514,2,554,6.75,0.98,Fixed
71,Male,Married,Retired,568411,565136,9,514,6.75,1.26,Floating
62,Female,Married,Retired,1346459,442389,8,414,6.75,1.49,Fixed
64,Male,Married,Retired,1374056,236024,7,438,6.75,1.27,Fixed
29,Male,Single,Salaried,886451,250678,8,828,6.75,0.05,Fixed
38,Female,Married,Salaried,1161214,435354,9,354,6.75,0.44,Fixed
28,Male,Single,Salaried,746701,732459,9,893,6.75,0.12,Floating
22,Male,Single,Salaried,637180,963509,3,837,6.75,0.8,Fixed
73,Female,Married,Retired,1198826,528764,1,858,6.75,0.69,Fixed
37,Female,Married,Salaried,1331444,71947,8,809,6.75,0.66,Fixed
58,Male,Married,Salaried,1895253,770315,4,796,6.75,0.66,Floating
63,Male,Single,Retired,500789,705569,5,837,6.75,1.1400000000000001,Fixed
29,Male,Married,Salaried,438357,340235,6,612,6.75,0.88,Floating
87,Male,Single,Retired,752335,443542,6,508,6.75,1.23,Floating
34,Female,Married,Salaried,1306598,937607,7,419,6.75,0.33,Fixed
36,Male,Married,Salaried,2003885,1963258,3,757,6.75,0.31,Fixed
43,Male,Married,Salaried,1070826,267084,2,521,6.75,0.02,Fixed
65,Female,Married,Retired,568945,1171005,9,890,6.75,1.4100000000000001,Floating
69,Male,Married,Retired,430465,645189,2,802,6.75,0.6,Floating
87,Female,Married,Retired,708773,1261593,9,340,6.75,0.98,Floating
72,Male,Single,Retired,1114690,103117,4,702,6.75,1.01,Floating
50,Male,Single,Salaried,1356294,347393,1,300,6.75,0.45,Floating
79,Male,Married,Retired,1109289,144060,3,333,6.75,1.0699999999999998,Floating
40,Male,Married,Self-Employed,640077,446314,2,643,6.75,0.73,Floating
32,Male,Married,Salaried,346032,753284,4,724,6.75,0.2,Floating
44,Male,Single,Salaried,1327909,1056744,2,364,6.75,0.07,Fixed
81,Male,Married,Retired,724658,289566,6,885,6.75,1.3599999999999999,Floating
68,Male,Married,Retired,766058,610173,1,815,6.75,0.99,Floating
70,Male,Married,Retired,492994,413075,5,697,6.75,0.63,Floating
68,Male,Married,Retired,222933,717475,9,320,6.75,1.17,Fixed
64,Male,Single,Retired,1822465,463470,1,453,6.75,0.72,Floating
21,Female,Single,Salaried,670692,421636,4,543,6.75,0.08,Floating
24,Male,Married,Salaried,17814,20934,2,368,6.75,0.28,Fixed
52,Male,Single,Salaried,1081466,589023,2,821,6.75,0.3,Fixed
65,Female,Single,Retired,925868,942773,5,764,6.75,1.37,Floating
89,Male,Married,Retired,63616,123054,2,331,6.75,0.81,Fixed
62,Female,Single,Retired,1570407,777153,5,884,6.75,1.28,Fixed
89,Female,Married,Retired,1331159,527503,1,714,6.75,1.08,Fixed
36,Male,Married,Salaried,1421255,119687,5,532,6.75,0.09,Floating
80,Male,Married,Retired,1133903,399659,3,698,6.75,0.66,Fixed
55,Female,Single,Salaried,348260,420112,2,477,6.75,0.08,Fixed
84,Male,Married,Retired,968881,633759,4,814,6.75,0.9,Fixed
76,Female,Single,Retired,759593,667313,1,403,6.75,1.47,Fixed
86,Male,Married,Retired,674939,541896,3,334,6.75,0.6799999999999999,Floating
30,Male,Married,Salaried,1818193,709142,1,609,6.75,0.34,Floating
64,Male,Single,Retired,504364,229820,8,411,6.75,1.3199999999999998,Fixed
78,Male,Single,Retired,768425,445733,5,400,6.75,1.38,Fixed
48,Male,Married,Salaried,1018871,456189,1,709,6.75,0.74,Fixed
39,Female,Married,Salaried,1196932,851028,2,894,6.75,0.47,Floating
60,Female,Married,Retired,1846145,51378,9,521,6.75,1.15,Fixed
84,Female,Married,Retired,918242,680762,7,653,6.75,0.95,Fixed
71,Male,Single,Retired,1145457,951373,3,539,6.75,1.35,Floating
27,Female,Married,Salaried,397854,538245,1,678,6.75,0.41,Fixed
59,Female,Married,Salaried,1287755,1495665,2,443,6.75,0.82,Floating
81,Female,Married,Retired,1967728,354134,7,542,6.75,1.0899999999999999,Fixed
38,Male,Married,Salaried,786300,458812,8,779,6.75,0.52,Floating
83,Female,Married,Retired,1401513,333462,5,643,6.75,1.1600000000000001,Fixed
58,Male,Married,Salaried,294797,433478,4,368,6.75,0.29,Fixed
41,Male,Single,Salaried,827491,687789,4,311,6.75,0.39,Floating
52,Female,Single,Salaried,852526,390298,5,392,6.75,0.81,Fixed
73,Male,Married,Retired,1176040,253413,7,869,6.75,0.88,Floating
47,Male,Married,Self-Employed,930193,22588,7,786,6.75,0.65,Fixed
74,Female,Married,Retired,1564616,453416,4,719,6.75,1.1600000000000001,Fixed
64,Male,Single,Retired,743165,494137,1,307,6.75,1.37,Floating
52,Female,Married,Salaried,1365424,408960,5,369,6.75,0.44,Floating
36,Female,Married,Self-Employed,1080716,1167205,7,866,6.75,0.9,Floating
25,Male,Single,Salaried,460627,694767,4,649,6.75,0.99,Fixed
43,Male,Married,Self-Employed,114218,338932,7,360,6.75,0.17,Floating
88,Female,Married,Retired,1073329,713412,8,553,6.75,1.22,Floating
47,Male,Married,Self-Employed,657707,746670,2,638,6.75,0.7,Floating
24,Female,Married,Salaried,1137659,498486,2,603,6.75,0.46,Floating
84,Female,Married,Retired,369728,376646,5,621,6.75,0.8,Floating
82,Male,Single,Retired,1266766,207011,3,451,6.75,0.53,Floating
53,Male,Married,Salaried,1784238,911777,4,675,6.75,0.64,Fixed
42,Female,Married,Salaried,880304,451732,1,583,6.75,0.32,Floating
54,Male,Married,Salaried,1966,442870,4,333,6.75,0.55,Floating
18,Male,Single,Salaried,972145,834243,4,612,6.75,0.12,Fixed
32,Female,Single,Self-Employed,643742,510022,4,878,6.75,0.04,Floating
54,Female,Married,Salaried,526281,1238088,3,581,6.75,0.8,Fixed
30,Female,Married,Salaried,895201,342224,2,779,6.75,0.12,Floating
25,Male,Married,Salaried,1498318,388717,4,505,6.75,0.14,Fixed
22,Female,Married,Salaried,711554,289249,8,848,6.75,0.57,Floating
77,Female,Married,Retired,1348712,250886,3,363,6.75,1.23,Floating
18,Female,Married,Salaried,892201,621715,6,663,6.75,0.01,Floating
53,Female,Single,Salaried,954731,712616,2,517,6.75,0.44,Fixed
52,Male,Married,Salaried,1545909,385498,1,706,6.75,0.63,Floating
83,Female,Married,Retired,860173,512508,7,357,6.75,1.24,Floating
80,Female,Married,Retired,1383051,563379,6,863,6.75,1.45,Floating
40,Male,Married,Salaried,886318,888025,4,566,6.75,0.02,Floating
26,Male,Married,Salaried,1279805,318362,7,564,6.75,0.9,Fixed
51,Female,Married,Salaried,867242,553251,6,625,6.75,0.97,Floating
63,Male,Married,Retired,1085585,629645,2,882,6.75,1.37,Fixed
21,Male,Single,Salaried,1128596,622937,4,445,6.75,0.95,Fixed
47,Male,Single,Salaried,1337853,522486,9,364,6.75,0.12,Floating
89,Male,Married,Retired,1239906,806880,8,667,6.75,1.49,Fixed
20,Male,Married,Salaried,577849,291616,6,890,6.75,0.77,Fixed
31,Male,Married,Salaried,1910074,448286,1,692,6.75,0.07,Floating
77,Female,Married,Retired,1013086,322809,7,743,6.75,1.1800000000000002,Floating
62,Female,Married,Retired,1457728,302352,1,436,6.75,1.2,Fixed
51,Female,Single,Salaried,194977,534963,8,438,6.75,0.63,Fixed
62,Male,Married,Retired,1401696,797864,3,430,6.75,1.37,Floating
78,Female,Single,Retired,1382654,265260,9,733,6.75,1.25,Floating
33,Female,Married,Self-Employed,1116979,775969,5,406,6.75,0.16,Floating
83,Female,Single,Retired,128287,400357,6,325,6.75,0.75,Floating
57,Male,Married,Salaried,638906,212735,4,878,6.75,0.46,Fixed
34,Male,Single,Self-Employed,488128,301269,6,481,6.75,0.39,Floating
51,Female,Married,Salaried,1581428,787291,9,677,6.75,0.66,Floating
33,Female,Single,Self-Employed,398311,188539,7,323,6.75,0.14,Floating
77,Female,Married,Retired,1277078,1101832,2,568,6.75,0.85,Fixed
83,Male,Married,Retired,855188,541707,6,630,6.75,0.74,Fixed
83,Male,Married,Retired,1541475,9339,9,529,6.75,0.79,Fixed
30,Female,Married,Self-Employed,1114453,188934,8,408,6.75,0.71,Floating
73,Male,Married,Retired,677249,747125,1,487,6.75,0.58,Fixed
48,Female,Married,Salaried,612779,62479,5,441,6.75,0.89,Floating
51,Female,Married,Salaried,779152,698415,6,345,6.75,0.64,Fixed
56,Female,Married,Salaried,545997,149013,9,542,6.75,0.41,Floating
84,Male,Married,Retired,1885261,609963,4,440,6.75,0.99,Floating
25,Male,Single,Salaried,1656946,895147,1,451,6.75,0.7,Fixed
72,Female,Single,Retired,1034010,613621,6,699,6.75,1.23,Fixed
44,Female,Married,Salaried,1469809,755659,9,840,6.75,0.8,Floating
70,Male,Married,Retired,981873,718033,6,318,6.75,0.76,Fixed
56,Male,Single,Salaried,1218157,157745,7,892,6.75,0.86,Fixed
82,Male,Single,Retired,1493451,136891,4,778,6.75,1.33,Fixed
34,Female,Married,Self-Employed,880774,28463,2,475,6.75,0.86,Floating
47,Female,Single,Salaried,1386981,592837,3,520,6.75,0.08,Fixed
70,Female,Married,Retired,101646,469940,1,587,6.75,0.64,Fixed
30,Male,Single,Self-Employed,1107286,200789,2,857,6.75,0.62,Fixed
38,Female,Married,Salaried,992798,600218,7,892,6.75,0.95,Floating
36,Male,Married,Self-Employed,829920,981997,9,882,6.75,0.11,Fixed
70,Male,Married,Retired,896647,707059,9,624,6.75,1.24,Fixed
36,Female,Married,Salaried,879035,911728,9,716,6.75,0.14,Fixed
74,Male,Married,Retired,1553999,384171,1,795,6.75,1.45,Fixed
42,Male,Single,Self-Employed,970885,552535,7,322,6.75,0.8,Floating
48,Female,Married,Salaried,2410651,1191654,7,761,6.75,0.29,Fixed
72,Male,Married,Retired,530241,753842,9,678,6.75,0.55,Fixed
40,Male,Married,Salaried,1277351,40271,9,488,6.75,0.44,Floating
49,Male,Married,Salaried,1447428,951051,1,748,6.75,0.53,Fixed
79,Male,Single,Retired,805209,570458,5,648,6.75,1.03,Floating
27,Female,Single,Salaried,393241,891835,2,327,6.75,0.85,Floating
89,Male,Married,Retired,774236,816588,6,578,6.75,1.48,Floating
71,Female,Married,Retired,339472,141327,2,895,6.75,0.9299999999999999,Floating
69,Male,Married,Retired,588234,600092,6,347,6.75,0.66,Fixed
37,Male,Single,Salaried,1193574,647433,7,857,6.75,0.38,Fixed
49,Male,Married,Self-Employed,2295014,869776,6,682,6.75,0.71,Floating
31,Female,Married,Self-Employed,1867783,502810,1,856,6.75,0.58,Floating
67,Male,Married,Retired,695988,236144,4,517,6.75,0.59,Floating
45,Female,Single,Salaried,1472831,453585,3,606,6.75,0.21,Fixed
70,Male,Married,Retired,818189,400978,5,477,6.75,1.19,Floating
41,Female,Married,Salaried,564974,345045,7,846,6.75,0.7,Fixed
39,Female,Married,Salaried,958645,390155,3,720,6.75,0.61,Fixed
47,Female,Married,Salaried,94077,208196,1,355,6.75,0.29,Floating
80,Female,Married,Retired,159648,344366,9,870,6.75,0.66,Fixed
21,Female,Married,Salaried,1456533,227070,6,831,6.75,0.23,Floating
76,Female,Married,Retired,1681964,250142,6,385,6.75,1.31,Fixed
25,Male,Single,Salaried,245006,85660,4,873,6.75,0.49,Floating
29,Male,Married,Salaried,1728674,430318,1,313,6.75,0.35,Floating
48,Female,Married,Salaried,1579309,233915,9,404,6.75,0.14,Floating
51,Male,Single,Salaried,825683,229770,7,477,6.75,0.39,Fixed
66,Male,Single,Retired,1227495,536439,7,508,6.75,0.9199999999999999,Floating
74,Male,Single,Retired,1908643,988227,7,368,6.75,1.3900000000000001,Floating
43,Male,Single,Salaried,1612984,539625,7,362,6.75,0.94,Fixed
35,Female,Married,Salaried,1247042,821588,8,470,6.75,0.84,Floating
55,Male,Married,Salaried,683132,471078,8,681,6.75,0.39,Fixed
67,Female,Married,Retired,794932,1242829,3,609,6.75,1.06,Floating
25,Female,Single,Salaried,1349653,163434,8,466,6.75,0.84,Fixed
58,Female,Married,Salaried,1270908,97944,4,532,6.75,0.05,Fixed
23,Male,Married,Salaried,1580955,768512,7,462,6.75,0.53,Fixed
86,Male,Married,Retired,277591,720461,5,892,6.75,0.9,Fixed
61,Female,Single,Retired,1222479,42475,4,803,6.75,0.88,Floating
81,Female,Single,Retired,1359642,455386,4,564,6.75,0.85,Floating
46,Female,Single,Self-Employed,878900,1038632,6,805,6.75,0.64,Floating
45,Male,Married,Salaried,2191003,1535530,2,359,6.75,0.42,Floating
28,Male,Married,Salaried,567679,37179,5,361,6.75,0.32,Floating
82,Female,Married,Retired,971899,108473,8,405,6.75,1.0699999999999998,Fixed
36,Male,Married,Self-Employed,1365471,985410,2,443,6.75,0.37,Floating
26,Female,Married,Salaried,1431749,245298,5,699,6.75,0.03,Fixed
44,Female,Married,Self-Employed,877315,790462,7,843,6.75,0.42,Fixed
51,Female,Married,Salaried,876406,713256,5,657,6.75,0.2,Fixed
61,Male,Single,Retired,1349357,492699,9,786,6.75,0.6,Floating
85,Male,Married,Retired,1232145,275233,9,546,6.75,1.37,Floating
32,Female,Single,Salaried,1046050,947069,8,531,6.75,0.69,Floating
68,Female,Married,Retired,70040,173075,9,337,6.75,0.88,Floating
30,Female,Married,Salaried,1073860,828837,2,745,6.75,0.99,Fixed
66,Female,Married,Retired,1807635,402577,3,746,6.75,0.87,Fixed
87,Female,Married,Retired,1294722,271320,4,315,6.75,0.74,Floating
73,Female,Married,Retired,612126,463589,5,353,6.75,0.97,Fixed
68,Male,Married,Retired,270647,838259,2,317,6.75,1.45,Fixed
54,Male,Single,Salaried,1479387,125667,4,848,6.75,0.66,Floating
34,Male,Single,Salaried,770115,599457,4,595,6.75,0.73,Floating
75,Male,Married,Retired,1667618,679463,5,874,6.75,0.67,Fixed
46,Male,Single,Self-Employed,1656168,439885,6,367,6.75,0.04,Floating
50,Male,Married,Salaried,925625,168410,1,700,6.75,0.54,Fixed
77,Female,Single,Retired,1162514,253068,6,781,6.75,0.8300000000000001,Floating
72,Male,Married,Retired,1224931,1034280,9,318,6.75,0.54,Floating
27,Male,Single,Salaried,399906,783075,3,897,6.75,0.9,Floating
64,Male,Single,Retired,1853252,679738,2,748,6.75,0.53,Floating
40,Female,Single,Salaried,1249510,1138913,8,608,6.75,0.01,Floating
38,Male,Married,Self-Employed,1076517,263382,2,445,6.75,0.3,Fixed
30,Male,Married,Salaried,1493243,495006,8,391,6.75,0.5,Fixed
50,Male,Married,Salaried,1152512,514243,4,760,6.75,0.45,Floating
41,Female,Married,Self-Employed,456144,870991,9,718,6.75,0.36,Fixed
28,Female,Married,Salaried,597233,9362,4,628,6.75,0.86,Floating
34,Female,Single,Salaried,72839,524887,1,636,6.75,0.3,Fixed
85,Male,Married,Retired,1033034,499384,8,717,6.75,1.15,Floating
64,Female,Married,Retired,1276246,747154,1,884,6.75,0.9,Fixed
42,Male,Married,Salaried,906252,369740,5,374,6.75,0.39,Floating
38,Male,Married,Self-Employed,422169,864209,7,384,6.75,0.93,Fixed
29,Male,Married,Salaried,752465,621315,3,637,6.75,0.7,Fixed
54,Male,Married,Salaried,815584,265947,6,476,6.75,0.54,Floating
59,Female,Married,Salaried,1433690,673165,1,749,6.75,0.17,Fixed
34,Male,Single,Salaried,1715910,464150,6,444,6.75,0.14,Fixed
65,Male,Married,Retired,368186,646825,5,546,6.75,0.69,Fixed
45,Male,Single,Salaried,960589,144414,2,428,6.75,0.63,Fixed
58,Male,Single,Salaried,697947,418869,4,888,6.75,0.06,Fixed
64,Female,Married,Retired,869658,805633,7,380,6.75,0.96,Floating
35,Female,Single,Self-Employed,1421039,921650,6,512,6.75,0.46,Fixed
88,Female,Married,Retired,750245,632134,6,668,6.75,1.42,Fixed
30,Male,Married,Salaried,1342212,429181,9,406,6.75,0.37,Fixed
30,Male,Married,Salaried,1995682,335420,2,394,6.75,0.9,Fixed
48,Male,Married,Salaried,774880,289873,1,398,6.75,0.62,Floating
19,Female,Single,Salaried,891491,289326,2,347,6.75,0.39,Floating
33,Female,Married,Salaried,880286,245859,3,475,6.75,0.53,Floating
26,Female,Married,Salaried,2193495,949204,9,698,6.75,0.09,Floating
55,Male,Married,Salaried,749944,324332,9,344,6.75,0.89,Floating
71,Male,Married,Retired,1734984,665777,5,557,6.75,1.13,Fixed
73,Male,Single,Retired,982047,608145,7,613,6.75,0.94,Floating
62,Female,Married,Retired,1085134,829255,3,465,6.75,1.28,Fixed
51,Female,Married,Salaried,1414160,669817,2,814,6.75,0.4,Floating
26,Female,Married,Salaried,813645,751446,6,780,6.75,0.46,Floating
25,Female,Married,Salaried,1491260,254568,6,771,6.75,0.42,Floating
24,Male,Married,Salaried,861596,646952,5,490,6.75,1.0,Fixed
53,Male,Married,Salaried,465732,574769,1,342,6.75,0.77,Fixed
35,Male,Married,Salaried,1508347,92495,2,536,6.75,0.93,Floating
20,Male,Single,Salaried,1305159,483257,7,831,6.75,0.38,Fixed
45,Male,Married,Salaried,706944,198386,2,877,6.75,0.49,Floating
87,Female,Single,Retired,1576377,43498,5,525,6.75,0.7,Fixed
61,Female,Single,Retired,507812,406887,4,733,6.75,0.51,Floating
38,Male,Single,Self-Employed,1211443,309869,1,753,6.75,0.19,Floating
45,Male,Married,Salaried,153647,274003,5,426,6.75,0.93,Fixed
71,Male,Single,Retired,805360,68389,1,726,6.75,0.96,Fixed
71,Female,Single,Retired,578893,1033408,3,700,6.75,0.63,Floating
82,Male,Single,Retired,370364,126220,9,372,6.75,0.95,Fixed
38,Male,Married,Salaried,1012255,398951,7,447,6.75,0.79,Fixed
30,Female,Married,Salaried,1166027,704686,2,720,6.75,0.5,Fixed
74,Male,Single,Retired,1307396,793542,5,735,6.75,1.44,Floating
66,Male,Married,Retired,1000840,169484,4,890,6.75,1.4,Fixed
71,Female,Married,Retired,1215431,434483,7,581,6.75,0.97,Floating
27,Female,Married,Salaried,438443,666065,4,708,6.75,0.08,Fixed
70,Female,Single,Retired,559869,589394,9,619,6.75,1.2,Floating
61,Male,Married,Retired,991091,614250,3,714,6.75,0.86,Floating
64,Male,Single,Retired,561946,141938,6,668,6.75,1.29,Fixed
70,Female,Married,Retired,1002772,252305,5,693,6.75,0.81,Floating
63,Male,Married,Retired,674995,454532,8,721,6.75,0.8300000000000001,Fixed
30,Female,Married,Self-Employed,920736,406340,1,896,6.75,0.54,Floating
54,Female,Married,Salaried,167776,549319,2,795,6.75,0.02,Fixed
41,Female,Married,Self-Employed,143924,182972,7,771,6.75,0.17,Fixed
19,Male,Married,Salaried,641485,792957,1,397,6.75,0.85,Floating
31,Male,Married,Salaried,336618,142330,5,671,6.75,0.96,Floating
27,Male,Married,Salaried,312188,569164,8,451,6.75,0.19,Fixed
52,Female,Married,Salaried,1241286,256046,5,380,6.75,0.77,Floating
42,Male,Married,Self-Employed,1485665,420448,5,316,6.75,0.11,Floating
20,Male,Married,Salaried,1437597,58022,9,369,6.75,0.47,Fixed
34,Male,Married,Salaried,927819,449596,5,811,6.75,0.51,Floating
29,Male,Married,Salaried,917647,699608,1,537,6.75,0.56,Floating
71,Male,Single,Retired,1049638,879752,3,714,6.75,0.86,Fixed
41,Male,Married,Salaried,672685,470633,5,356,6.75,0.86,Floating
46,Female,Married,Salaried,78702,134549,8,703,6.75,0.3,Fixed
60,Male,Married,Retired,1593737,744616,2,729,6.75,0.99,Fixed
42,Male,Married,Salaried,1007173,604095,4,429,6.75,0.19,Fixed
77,Female,Married,Retired,976443,449293,4,893,6.75,1.0699999999999998,Fixed
82,Female,Married,Retired,841654,337751,3,349,6.75,0.7,Fixed
45,Male,Married,Salaried,1296818,463691,6,769,6.75,0.24,Fixed
33,Male,Married,Salaried,940963,508691,2,784,6.75,0.44,Floating
64,Female,Married,Retired,755307,742874,3,797,6.75,0.78,Fixed
75,Male,Married,Retired,832184,245648,2,631,6.75,0.54,Floating
44,Male,Married,Salaried,1032451,297051,8,444,6.75,0.8,Floating
70,Male,Married,Retired,423661,429536,2,505,6.75,1.3199999999999998,Fixed
59,Male,Single,Salaried,1707113,92645,5,389,6.75,0.9,Floating
76,Male,Married,Retired,696455,706320,4,750,6.75,1.48,Fixed
64,Female,Single,Retired,602411,677357,1,469,6.75,0.61,Floating
51,Female,Married,Salaried,811039,589373,7,537,6.75,0.27,Floating
