Age,Gender,Marital Status,Dependents,Employment,Income (₹),Years in Job,Credit Score,Active Loans,Missed Payments (12M),Loan Amount (₹),LTV (%),DTI (%),Loan Tenure (yrs),Repayment Type,Co-applicant Present,Co-applicant Income (₹),Existing Customer,Salary Account,Base Rate Type,Base Rate (%),Dynamic Rate (%)
53,Female,Married,3,Salaried,2260000,21,677,3,0,9360000,76,37,11,Standard EMI,Yes,1100000,Yes,Yes,Floating,6.5,8.77
71,Other,Married,4,Part-time,640000,43,685,4,0,1350000,52,34,9,Step-up EMI,Yes,670000,Yes,Yes,Fixed,6.5,8.13
62,Male,Widowed,3,Retired,430000,44,739,4,2,1390000,64,31,9,Standard EMI,No,1220000,No,Yes,Floating,6.5,8.45
70,Male,Single,3,Salaried,1400000,36,700,1,3,1080000,54,35,6,Standard EMI,No,2020000,Yes,Yes,Floating,6.5,8.9
21,Male,Single,2,Part-time,700000,1,643,4,3,1840000,87,31,25,Step-up EMI,Yes,1840000,Yes,Yes,Floating,6.5,8.13
57,Female,Single,3,Contractual,900000,24,656,4,3,4720000,79,36,16,Step-up EMI,Yes,2450000,Yes,Yes,Floating,6.5,8.23
73,Other,Married,0,Contractual,750000,38,779,3,2,1420000,73,21,14,Standard EMI,No,1760000,Yes,Yes,Floating,6.5,7.42
58,Male,Divorced,3,Part-time,980000,36,622,0,2,3980000,78,29,25,Step-up EMI,Yes,150000,No,No,Floating,6.5,9.49
46,Female,Married,1,Contractual,1610000,19,666,0,0,2880000,82,37,11,Standard EMI,Yes,770000,No,Yes,Fixed,6.5,8.32
20,Female,Single,0,Contractual,140000,1,677,5,1,480000,81,41,27,Step-up EMI,No,2370000,Yes,No,Fixed,6.5,9.87
46,Male,Widowed,4,Contractual,520000,13,650,2,3,3980000,84,38,17,Step-up EMI,No,530000,Yes,No,Floating,6.5,8.4
29,Other,Single,4,Part-time,110000,7,707,0,1,600000,80,43,22,Step-up EMI,Yes,560000,No,Yes,Fixed,6.5,8.58
52,Male,Widowed,0,Salaried,1220000,8,656,4,1,9970000,80,30,20,Step-up EMI,No,650000,No,Yes,Fixed,6.5,8.68
52,Female,Widowed,4,Part-time,700000,34,705,4,3,2610000,79,38,21,Standard EMI,Yes,1910000,No,No,Floating,6.5,7.15
26,Male,Single,1,Salaried,510000,1,546,1,2,360000,84,40,25,Step-up EMI,No,290000,Yes,Yes,Fixed,6.5,9.58
62,Male,Widowed,0,Part-time,370000,25,657,0,0,1190000,54,21,10,Step-up EMI,Yes,2420000,Yes,No,Fixed,6.5,7.71
19,Female,Single,1,Salaried,570000,1,552,2,1,1540000,85,42,24,Step-up EMI,No,1830000,No,Yes,Floating,6.5,8.15
30,Female,Single,2,Part-time,380000,2,522,5,1,150000,82,31,27,Step-up EMI,Yes,1930000,Yes,Yes,Floating,6.5,7.88
68,Male,Single,3,Part-time,670000,38,643,0,0,590000,69,26,9,Step-up EMI,No,2250000,Yes,Yes,Floating,6.5,7.85
71,Male,Single,2,Retired,260000,32,685,2,3,1000000,62,30,7,Step-up EMI,No,1800000,No,No,Fixed,6.5,10.07
69,Male,Widowed,4,Retired,340000,30,731,2,2,730000,64,23,9,Standard EMI,No,1500000,Yes,Yes,Floating,6.5,6.18
71,Female,Single,0,Contractual,410000,19,783,5,1,1800000,52,20,7,Step-up EMI,No,2380000,No,No,Floating,6.5,6.86
66,Male,Single,1,Retired,400000,4,661,0,2,680000,50,26,10,Step-up EMI,No,790000,No,Yes,Floating,6.5,8.83
68,Other,Married,4,Salaried,760000,23,657,0,1,1480000,74,32,7,Step-up EMI,No,440000,No,Yes,Fixed,6.5,7.13
69,Male,Divorced,3,Part-time,600000,10,620,2,0,760000,57,34,15,Standard EMI,Yes,670000,No,No,Fixed,6.5,7.49
32,Male,Single,4,Salaried,490000,14,812,3,0,6010000,84,32,14,Standard EMI,No,2150000,Yes,Yes,Floating,6.5,6.57
70,Female,Married,3,Salaried,770000,11,751,1,0,1320000,66,32,12,Standard EMI,No,200000,Yes,Yes,Floating,6.5,8.02
32,Female,Married,2,Salaried,2830000,13,738,0,3,3580000,80,37,12,Standard EMI,No,1950000,No,Yes,Floating,6.5,7.66
54,Other,Widowed,2,Part-time,860000,8,653,4,3,2310000,79,33,25,Standard EMI,Yes,1290000,No,Yes,Fixed,6.5,7.19
55,Male,Widowed,3,Salaried,2920000,37,824,5,3,3330000,75,27,17,Step-up EMI,Yes,1900000,No,No,Fixed,6.5,7.08
58,Female,Married,3,Part-time,490000,29,713,2,0,1710000,84,32,21,Step-up EMI,Yes,940000,Yes,No,Floating,6.5,7.5
64,Male,Single,0,Part-time,640000,26,726,2,1,960000,72,30,11,Standard EMI,Yes,1510000,Yes,No,Floating,6.5,5.61
73,Male,Widowed,1,Retired,230000,11,611,1,0,1170000,74,23,9,Standard EMI,Yes,1180000,No,No,Floating,6.5,8.28
18,Female,Single,4,Part-time,110000,1,605,1,1,1460000,83,45,20,Step-up EMI,No,920000,Yes,Yes,Fixed,6.5,9.89
30,Female,Single,0,Salaried,700000,2,646,2,2,200000,84,43,24,Standard EMI,No,330000,Yes,No,Fixed,6.5,10.52
23,Male,Single,0,Salaried,1130000,4,666,0,2,1270000,83,30,21,Step-up EMI,No,450000,No,No,Fixed,6.5,8.7
71,Male,Married,0,Part-time,630000,16,652,0,1,1180000,66,35,7,Step-up EMI,No,2010000,No,No,Fixed,6.5,8.58
21,Other,Single,3,Salaried,230000,1,650,1,3,1770000,84,33,30,Step-up EMI,No,80000,No,No,Fixed,6.5,8.2
68,Male,Divorced,0,Salaried,1190000,23,767,1,1,1770000,70,34,11,Standard EMI,Yes,560000,Yes,Yes,Floating,6.5,8.27
62,Male,Widowed,0,Part-time,280000,39,721,2,2,1930000,56,32,14,Standard EMI,Yes,640000,Yes,No,Floating,6.5,7.24
45,Female,Married,0,Contractual,1910000,25,789,2,3,1620000,77,35,10,Standard EMI,Yes,1480000,No,Yes,Fixed,6.5,7.08
50,Female,Single,1,Part-time,590000,14,706,0,0,1340000,82,27,21,Standard EMI,No,2300000,No,Yes,Floating,6.5,7.49
45,Other,Widowed,2,Contractual,530000,3,670,2,0,1700000,83,25,24,Step-up EMI,Yes,870000,No,Yes,Floating,6.5,9.02
38,Female,Widowed,1,Salaried,2040000,18,702,0,0,3630000,78,40,20,Standard EMI,Yes,1000000,Yes,Yes,Floating,6.5,6.85
31,Other,Single,2,Salaried,2960000,10,785,5,0,6020000,75,29,17,Step-up EMI,No,1020000,Yes,Yes,Floating,6.5,6.75
27,Male,Single,3,Salaried,610000,7,559,3,0,520000,87,41,26,Step-up EMI,No,100000,No,No,Floating,6.5,9.26
67,Male,Married,2,Contractual,860000,40,683,5,0,1890000,69,25,11,Step-up EMI,Yes,350000,Yes,No,Fixed,6.5,8.58
47,Female,Divorced,2,Part-time,1050000,16,713,5,2,2860000,78,37,13,Step-up EMI,Yes,2210000,Yes,No,Fixed,6.5,8.24
43,Male,Single,2,Salaried,620000,25,729,2,0,5850000,79,31,12,Standard EMI,Yes,670000,Yes,Yes,Floating,6.5,6.0
21,Other,Single,3,Part-time,550000,2,671,4,0,1530000,86,39,29,Step-up EMI,No,620000,No,No,Fixed,6.5,9.1
70,Male,Married,1,Retired,510000,50,745,1,3,1310000,57,26,6,Step-up EMI,Yes,1950000,No,Yes,Fixed,6.5,7.02
26,Female,Single,1,Part-time,710000,1,677,3,0,840000,82,38,20,Step-up EMI,Yes,2020000,No,No,Fixed,6.5,7.72
22,Other,Single,2,Part-time,200000,4,667,5,3,410000,90,35,27,Step-up EMI,Yes,2310000,No,No,Floating,6.5,9.26
59,Female,Divorced,2,Salaried,1150000,25,655,1,3,2650000,76,33,11,Step-up EMI,No,980000,Yes,No,Fixed,6.5,8.83
62,Other,Married,3,Contractual,750000,11,795,4,1,2270000,54,35,13,Standard EMI,Yes,2090000,Yes,Yes,Fixed,6.5,7.12
27,Female,Single,2,Salaried,260000,7,518,1,1,1320000,87,36,28,Step-up EMI,Yes,1810000,No,Yes,Floating,6.5,8.09
70,Female,Widowed,2,Salaried,1400000,16,776,2,2,2830000,60,35,13,Standard EMI,Yes,400000,Yes,Yes,Floating,6.5,6.0
62,Female,Divorced,4,Part-time,210000,40,721,3,0,980000,74,34,7,Step-up EMI,No,1740000,No,No,Fixed,6.5,7.39
23,Other,Single,0,Salaried,780000,3,742,5,2,1710000,81,32,29,Step-up EMI,Yes,1070000,Yes,Yes,Floating,6.5,6.72
21,Female,Single,1,Salaried,860000,2,508,1,0,290000,83,33,30,Standard EMI,No,550000,No,Yes,Floating,6.5,7.69
75,Male,Divorced,2,Salaried,620000,41,782,0,2,2600000,59,21,9,Step-up EMI,No,50000,No,No,Fixed,6.5,7.93
32,Male,Widowed,2,Salaried,2680000,6,742,3,2,9260000,82,31,23,Step-up EMI,No,2210000,Yes,Yes,Fixed,6.5,6.56
30,Other,Single,0,Salaried,1090000,12,593,3,2,1030000,89,38,27,Standard EMI,Yes,960000,No,No,Floating,6.5,8.43
23,Female,Single,1,Part-time,570000,3,575,4,1,1500000,87,39,23,Step-up EMI,No,2010000,No,No,Floating,6.5,10.02
21,Other,Single,2,Salaried,400000,3,505,1,1,820000,87,31,27,Standard EMI,Yes,1160000,Yes,No,Fixed,6.5,8.75
63,Female,Divorced,0,Retired,260000,10,741,4,0,700000,68,26,9,Standard EMI,Yes,860000,No,Yes,Floating,6.5,6.11
51,Other,Divorced,4,Salaried,1140000,29,713,4,1,2710000,80,29,13,Step-up EMI,Yes,660000,No,Yes,Floating,6.5,7.26
67,Male,Single,4,Contractual,470000,4,752,3,1,2050000,71,30,7,Step-up EMI,Yes,1500000,Yes,Yes,Fixed,6.5,5.64
26,Other,Single,3,Contractual,130000,2,623,4,0,1780000,84,31,24,Standard EMI,No,400000,No,No,Floating,6.5,10.57
58,Other,Divorced,2,Contractual,1720000,39,700,1,2,2760000,82,38,15,Step-up EMI,No,1010000,Yes,Yes,Floating,6.5,9.56
39,Female,Divorced,3,Salaried,1270000,9,732,3,3,6500000,84,26,15,Standard EMI,Yes,480000,Yes,Yes,Fixed,6.5,7.19
47,Female,Widowed,4,Part-time,510000,4,638,3,3,2530000,75,37,24,Step-up EMI,No,470000,No,Yes,Fixed,6.5,9.12
51,Female,Divorced,3,Part-time,1100000,22,607,5,3,1330000,76,34,20,Standard EMI,No,1200000,No,Yes,Fixed,6.5,8.65
41,Male,Widowed,1,Part-time,1190000,14,709,3,0,3170000,76,28,22,Standard EMI,Yes,130000,No,No,Fixed,6.5,8.78
23,Male,Single,0,Salaried,1470000,4,551,0,1,190000,89,38,25,Step-up EMI,Yes,2290000,No,No,Floating,6.5,9.43
45,Female,Married,2,Part-time,600000,3,728,4,0,3440000,79,34,23,Standard EMI,No,1650000,No,No,Floating,6.5,8.22
68,Other,Married,0,Salaried,960000,11,696,1,0,2580000,72,26,6,Standard EMI,Yes,110000,No,No,Fixed,6.5,9.22
61,Male,Divorced,3,Retired,230000,19,645,0,0,1430000,66,29,11,Standard EMI,No,490000,Yes,No,Floating,6.5,9.0
20,Female,Single,4,Part-time,350000,2,691,2,1,1650000,84,42,26,Standard EMI,No,1840000,Yes,No,Fixed,6.5,8.28
69,Male,Divorced,0,Part-time,370000,38,676,1,1,870000,53,24,10,Step-up EMI,Yes,1820000,No,No,Floating,6.5,10.26
34,Other,Single,4,Part-time,1030000,12,730,3,2,3110000,80,34,11,Standard EMI,No,190000,No,No,Fixed,6.5,7.46
28,Female,Single,3,Salaried,600000,6,687,2,2,260000,82,41,27,Standard EMI,No,1270000,No,Yes,Fixed,6.5,8.54
57,Male,Married,3,Salaried,590000,19,791,1,1,5200000,84,38,17,Standard EMI,Yes,2270000,Yes,No,Floating,6.5,6.46
22,Female,Single,1,Salaried,710000,2,612,4,3,760000,81,41,29,Standard EMI,No,1580000,Yes,Yes,Floating,6.5,8.81
22,Male,Single,3,Salaried,1340000,4,717,1,1,1180000,85,45,29,Standard EMI,Yes,410000,No,No,Fixed,6.5,8.02
65,Other,Widowed,0,Part-time,650000,9,708,2,2,1870000,74,25,9,Step-up EMI,Yes,1170000,No,No,Fixed,6.5,6.55
18,Female,Single,4,Salaried,980000,1,514,3,1,1560000,85,32,26,Standard EMI,No,460000,No,Yes,Floating,6.5,8.65
70,Male,Divorced,4,Retired,480000,33,644,1,0,1240000,73,25,7,Step-up EMI,No,1680000,Yes,No,Floating,6.5,10.25
74,Female,Divorced,4,Salaried,690000,51,810,5,0,1880000,54,21,5,Step-up EMI,No,620000,Yes,No,Floating,6.5,6.75
66,Other,Single,1,Retired,440000,44,718,1,3,1300000,67,34,14,Step-up EMI,Yes,170000,No,No,Fixed,6.5,7.52
28,Male,Single,3,Part-time,160000,5,540,2,3,520000,82,40,28,Step-up EMI,Yes,2250000,No,Yes,Fixed,6.5,10.55
71,Other,Married,1,Retired,460000,13,621,1,3,640000,66,24,5,Step-up EMI,Yes,1940000,No,Yes,Floating,6.5,8.77
56,Female,Married,4,Contractual,620000,13,756,0,3,1860000,81,25,21,Standard EMI,No,2110000,No,No,Floating,6.5,6.34
64,Female,Widowed,4,Contractual,1120000,5,797,2,0,1700000,74,22,5,Standard EMI,No,2040000,No,Yes,Floating,6.5,6.7
44,Other,Married,1,Part-time,1080000,4,625,1,1,3180000,75,26,17,Step-up EMI,Yes,360000,No,No,Floating,6.5,8.81
20,Male,Single,1,Salaried,520000,2,661,0,1,1960000,81,35,29,Step-up EMI,No,30000,No,No,Fixed,6.5,9.46
65,Other,Single,2,Retired,590000,2,631,0,1,860000,56,24,6,Standard EMI,Yes,1140000,No,Yes,Fixed,6.5,9.08
36,Male,Married,0,Part-time,560000,13,625,2,3,1260000,82,39,21,Standard EMI,No,1070000,No,No,Floating,6.5,9.29
28,Female,Single,2,Part-time,690000,1,666,1,1,1070000,82,33,26,Step-up EMI,Yes,330000,No,Yes,Fixed,6.5,8.95
39,Female,Divorced,3,Part-time,750000,20,662,5,3,1560000,78,37,24,Step-up EMI,Yes,720000,Yes,No,Floating,6.5,8.68
50,Female,Widowed,1,Salaried,2230000,30,734,1,2,2000000,80,25,16,Step-up EMI,Yes,1120000,No,No,Fixed,6.5,6.24
30,Other,Single,3,Salaried,950000,6,541,2,3,1600000,85,33,20,Step-up EMI,No,850000,No,Yes,Fixed,6.5,8.93
57,Other,Married,0,Salaried,1270000,10,658,2,0,2380000,82,37,11,Step-up EMI,Yes,460000,Yes,Yes,Floating,6.5,9.99
65,Male,Married,4,Contractual,1100000,23,775,5,2,1450000,55,27,10,Standard EMI,Yes,830000,No,No,Fixed,6.5,8.08
26,Female,Single,0,Contractual,580000,7,661,0,2,500000,83,30,29,Step-up EMI,No,60000,Yes,Yes,Fixed,6.5,9.25
27,Male,Single,4,Contractual,240000,9,564,4,3,1220000,81,38,26,Standard EMI,Yes,1650000,Yes,No,Floating,6.5,8.94
46,Other,Divorced,2,Salaried,2720000,3,657,3,3,9560000,84,32,24,Standard EMI,No,1400000,Yes,Yes,Floating,6.5,7.98
66,Other,Divorced,2,Part-time,680000,41,745,5,3,1170000,62,30,10,Standard EMI,Yes,190000,Yes,No,Floating,6.5,6.69
23,Female,Single,4,Salaried,1260000,4,555,2,3,840000,83,34,23,Step-up EMI,No,1590000,No,Yes,Fixed,6.5,8.82
38,Male,Single,2,Contractual,570000,13,737,4,1,3380000,79,35,22,Step-up EMI,No,1650000,Yes,Yes,Floating,6.5,7.96
68,Other,Divorced,4,Part-time,280000,9,731,0,1,1340000,72,35,13,Step-up EMI,Yes,2130000,Yes,No,Fixed,6.5,8.06
73,Other,Married,1,Salaried,1030000,45,710,0,1,2020000,58,34,11,Step-up EMI,Yes,1980000,No,Yes,Fixed,6.5,7.21
18,Male,Single,2,Contractual,550000,1,602,5,0,210000,86,30,27,Standard EMI,Yes,2240000,Yes,Yes,Fixed,6.5,7.87
58,Male,Widowed,1,Salaried,500000,16,806,3,1,6270000,76,32,14,Standard EMI,No,1410000,No,Yes,Fixed,6.5,7.06
69,Other,Single,2,Contractual,1160000,9,701,0,0,1780000,60,34,13,Step-up EMI,Yes,1110000,Yes,No,Floating,6.5,7.43
29,Other,Single,4,Part-time,700000,4,581,3,3,590000,81,32,28,Step-up EMI,No,1530000,No,Yes,Fixed,6.5,9.08
52,Other,Widowed,1,Contractual,540000,3,666,1,2,3530000,81,28,24,Standard EMI,Yes,1370000,No,Yes,Fixed,6.5,8.76
69,Female,Single,3,Retired,230000,16,639,0,0,1040000,69,24,6,Standard EMI,No,930000,Yes,Yes,Floating,6.5,9.5
68,Male,Divorced,4,Part-time,480000,28,690,1,3,1960000,53,32,14,Step-up EMI,Yes,1630000,No,Yes,Fixed,6.5,8.67
44,Male,Single,2,Salaried,1140000,22,661,3,2,3960000,83,34,19,Step-up EMI,No,1550000,No,Yes,Fixed,6.5,9.59
62,Female,Divorced,3,Retired,590000,32,713,5,3,1040000,59,34,7,Standard EMI,No,280000,No,No,Fixed,6.5,8.68
23,Male,Single,4,Contractual,330000,4,576,0,0,690000,85,36,21,Standard EMI,No,1630000,No,No,Floating,6.5,9.19
18,Female,Single,1,Part-time,790000,1,569,1,1,810000,88,34,26,Step-up EMI,Yes,370000,Yes,Yes,Fixed,6.5,9.14
71,Female,Single,4,Salaried,660000,3,698,1,3,1000000,55,23,14,Standard EMI,Yes,1380000,Yes,Yes,Floating,6.5,9.61
21,Female,Single,0,Contractual,530000,3,737,1,0,1860000,85,41,27,Step-up EMI,No,2090000,Yes,Yes,Floating,6.5,7.05
55,Male,Divorced,0,Part-time,800000,27,742,2,3,2330000,78,31,21,Standard EMI,Yes,2180000,No,No,Fixed,6.5,7.66
55,Other,Single,1,Part-time,770000,15,659,2,1,1720000,80,35,11,Standard EMI,No,1560000,Yes,Yes,Floating,6.5,8.17
24,Other,Single,4,Part-time,740000,6,634,0,1,1850000,85,31,23,Step-up EMI,No,110000,No,Yes,Fixed,6.5,8.39
31,Other,Divorced,0,Contractual,1750000,3,702,5,1,1500000,75,38,16,Step-up EMI,No,620000,Yes,Yes,Fixed,6.5,8.62
22,Female,Single,3,Contractual,540000,4,508,1,0,510000,85,42,26,Standard EMI,Yes,1270000,Yes,No,Fixed,6.5,8.48
25,Other,Single,1,Salaried,1120000,4,668,1,3,1930000,80,38,24,Standard EMI,Yes,2170000,Yes,No,Fixed,6.5,9.15
23,Male,Single,4,Contractual,140000,5,704,0,1,1480000,81,30,30,Step-up EMI,Yes,150000,Yes,No,Floating,6.5,7.44
29,Male,Single,1,Part-time,570000,11,633,3,3,1060000,85,41,28,Standard EMI,No,650000,Yes,Yes,Floating,6.5,9.45
75,Female,Divorced,3,Retired,210000,8,633,3,0,900000,73,34,5,Step-up EMI,No,1080000,No,No,Fixed,6.5,9.52
51,Female,Divorced,4,Salaried,1160000,25,755,0,0,2450000,79,40,21,Standard EMI,No,690000,No,Yes,Floating,6.5,6.93
67,Female,Married,4,Salaried,1000000,47,652,1,3,1110000,59,32,13,Standard EMI,No,650000,No,Yes,Floating,6.5,9.8
38,Female,Divorced,2,Salaried,1060000,15,757,5,2,8010000,84,35,25,Step-up EMI,Yes,1150000,No,Yes,Floating,6.5,6.94
52,Female,Divorced,0,Part-time,1040000,12,645,5,0,3140000,83,28,23,Step-up EMI,No,1060000,Yes,Yes,Floating,6.5,8.14
62,Male,Married,0,Retired,570000,12,644,4,2,1410000,59,26,14,Standard EMI,Yes,2090000,No,Yes,Fixed,6.5,10.01
22,Other,Single,4,Part-time,130000,1,506,5,2,1340000,82,36,25,Step-up EMI,Yes,1660000,No,No,Floating,6.5,8.69
44,Other,Divorced,0,Part-time,640000,2,636,0,3,2690000,83,36,10,Standard EMI,Yes,860000,No,No,Fixed,6.5,8.71
60,Other,Married,4,Salaried,1030000,37,789,1,2,2930000,53,29,13,Step-up EMI,Yes,1040000,No,Yes,Fixed,6.5,6.83
68,Other,Married,4,Salaried,1080000,17,837,2,2,1310000,52,28,11,Step-up EMI,No,60000,Yes,No,Floating,6.5,7.51
24,Male,Single,1,Salaried,940000,2,690,2,1,1320000,81,38,28,Standard EMI,Yes,1410000,No,Yes,Fixed,6.5,8.65
41,Other,Divorced,1,Part-time,1090000,4,643,5,1,1760000,76,31,15,Step-up EMI,No,210000,No,Yes,Floating,6.5,10.03
46,Other,Widowed,4,Contractual,1830000,5,747,2,0,1990000,78,32,19,Standard EMI,Yes,650000,No,Yes,Floating,6.5,7.41
46,Other,Single,1,Salaried,1500000,13,711,1,2,6730000,82,37,15,Standard EMI,Yes,1270000,Yes,Yes,Fixed,6.5,6.79
65,Other,Married,0,Retired,570000,24,746,4,0,650000,54,26,15,Step-up EMI,No,200000,Yes,Yes,Floating,6.5,8.1
20,Female,Single,2,Part-time,370000,1,626,5,1,1750000,82,40,26,Step-up EMI,Yes,1220000,Yes,No,Floating,6.5,9.25
59,Male,Single,4,Salaried,540000,14,737,0,0,3240000,83,40,20,Standard EMI,No,1650000,Yes,No,Floating,6.5,8.43
30,Other,Single,2,Salaried,480000,5,558,1,1,1470000,84,37,21,Step-up EMI,No,1390000,No,No,Floating,6.5,8.09
25,Male,Single,0,Contractual,370000,1,576,2,3,1210000,87,36,24,Step-up EMI,No,1600000,No,Yes,Fixed,6.5,9.18
44,Other,Married,3,Contractual,1270000,6,690,0,3,2820000,77,40,20,Standard EMI,Yes,540000,No,No,Floating,6.5,10.59
55,Female,Divorced,0,Part-time,460000,18,640,2,3,3980000,79,33,20,Step-up EMI,No,220000,Yes,No,Floating,6.5,10.61
55,Other,Married,0,Part-time,1050000,3,627,4,0,2410000,83,31,17,Step-up EMI,Yes,240000,No,No,Fixed,6.5,8.56
40,Other,Single,0,Contractual,770000,9,749,0,1,1620000,80,37,18,Step-up EMI,No,480000,Yes,No,Floating,6.5,7.57
22,Male,Single,2,Contractual,290000,2,571,3,0,2000000,88,42,23,Step-up EMI,Yes,530000,Yes,Yes,Floating,6.5,9.96
37,Female,Married,2,Contractual,1440000,4,673,3,0,2470000,85,39,24,Step-up EMI,Yes,1440000,Yes,No,Floating,6.5,10.41
59,Female,Single,0,Contractual,1550000,9,759,4,1,3580000,75,36,12,Step-up EMI,Yes,20000,No,Yes,Floating,6.5,6.91
64,Female,Divorced,2,Part-time,690000,28,733,0,0,1790000,50,24,6,Step-up EMI,Yes,970000,No,No,Fixed,6.5,5.57
72,Other,Married,1,Retired,430000,9,623,0,3,620000,68,20,10,Standard EMI,No,1220000,No,Yes,Floating,6.5,8.67
27,Male,Single,4,Salaried,910000,7,561,2,3,920000,85,36,23,Step-up EMI,Yes,1740000,Yes,No,Floating,6.5,9.42
20,Female,Single,2,Part-time,780000,1,649,2,0,1450000,88,34,25,Standard EMI,Yes,240000,No,No,Fixed,6.5,8.62
74,Female,Married,2,Part-time,410000,27,604,0,3,1960000,55,25,10,Standard EMI,No,800000,No,No,Floating,6.5,8.47
36,Male,Divorced,4,Contractual,1710000,11,753,1,0,2150000,76,32,14,Step-up EMI,Yes,1310000,No,Yes,Fixed,6.5,6.3
60,Other,Widowed,4,Salaried,530000,9,754,2,3,2630000,73,27,10,Step-up EMI,No,880000,Yes,Yes,Fixed,6.5,5.73
60,Male,Divorced,3,Contractual,1200000,22,676,1,1,1240000,69,31,15,Step-up EMI,Yes,2370000,Yes,Yes,Fixed,6.5,8.44
60,Other,Divorced,2,Contractual,510000,15,703,3,1,1560000,62,33,13,Standard EMI,Yes,2270000,No,Yes,Fixed,6.5,6.68
64,Female,Widowed,1,Salaried,1440000,21,687,1,0,2870000,57,32,12,Step-up EMI,No,780000,No,Yes,Fixed,6.5,8.11
75,Male,Widowed,0,Retired,340000,21,615,4,3,1230000,57,25,7,Standard EMI,Yes,1230000,Yes,Yes,Fixed,6.5,7.64
50,Male,Widowed,2,Part-time,790000,19,611,5,3,1220000,80,38,22,Step-up EMI,Yes,2400000,No,Yes,Fixed,6.5,8.8
22,Other,Single,0,Part-time,370000,1,645,4,2,1820000,81,41,22,Step-up EMI,No,1440000,No,No,Floating,6.5,9.3
74,Male,Married,0,Retired,530000,10,679,4,3,780000,55,24,14,Step-up EMI,Yes,120000,Yes,No,Fixed,6.5,9.98
18,Male,Single,4,Salaried,250000,1,543,0,1,930000,80,43,25,Standard EMI,No,1820000,No,Yes,Floating,6.5,9.38
27,Other,Single,0,Part-time,770000,1,735,3,1,1090000,81,33,27,Step-up EMI,No,470000,No,No,Fixed,6.5,5.96
30,Other,Single,4,Part-time,510000,12,650,5,1,340000,89,30,27,Step-up EMI,Yes,1380000,Yes,Yes,Floating,6.5,8.49
61,Other,Widowed,0,Retired,210000,25,649,2,3,870000,58,23,13,Standard EMI,Yes,590000,No,Yes,Fixed,6.5,8.07
29,Male,Single,3,Contractual,400000,1,630,1,2,940000,81,36,28,Step-up EMI,Yes,2380000,Yes,No,Floating,6.5,8.68
68,Male,Single,1,Part-time,660000,38,651,0,3,1640000,51,22,14,Standard EMI,Yes,10000,Yes,No,Fixed,6.5,7.61
40,Male,Widowed,4,Part-time,460000,13,700,0,2,1220000,78,40,16,Step-up EMI,Yes,70000,Yes,Yes,Fixed,6.5,9.61
40,Male,Widowed,1,Salaried,1110000,9,771,0,2,2590000,80,27,23,Step-up EMI,Yes,1860000,No,No,Fixed,6.5,7.69
75,Female,Widowed,0,Retired,270000,2,647,3,3,1480000,72,31,9,Step-up EMI,No,2320000,Yes,No,Floating,6.5,9.04
18,Male,Single,4,Salaried,1140000,1,739,4,3,140000,81,33,20,Step-up EMI,Yes,1770000,No,No,Floating,6.5,6.79
22,Male,Single,4,Part-time,620000,1,608,3,2,470000,88,44,24,Standard EMI,Yes,2280000,No,No,Fixed,6.5,8.54
54,Male,Single,0,Contractual,1200000,15,695,3,0,2590000,84,40,25,Standard EMI,No,1460000,Yes,Yes,Fixed,6.5,9.55
34,Female,Married,2,Salaried,850000,9,842,2,1,8800000,83,39,23,Step-up EMI,No,1290000,Yes,Yes,Floating,6.5,7.12
28,Male,Single,0,Contractual,390000,4,595,5,0,1710000,89,38,30,Standard EMI,Yes,250000,No,Yes,Floating,6.5,8.85
22,Other,Single,4,Part-time,800000,4,681,0,1,1690000,90,36,22,Step-up EMI,No,550000,No,Yes,Floating,6.5,8.63
61,Male,Single,3,Part-time,540000,16,631,0,1,1550000,66,29,15,Standard EMI,Yes,820000,Yes,Yes,Fixed,6.5,9.11
49,Female,Single,3,Contractual,1280000,26,788,3,3,3360000,76,31,18,Step-up EMI,Yes,150000,No,Yes,Fixed,6.5,6.59
43,Male,Widowed,1,Part-time,860000,1,670,4,0,2020000,82,34,20,Standard EMI,No,70000,No,Yes,Fixed,6.5,9.31
29,Male,Single,0,Contractual,150000,8,562,2,2,1230000,87,35,27,Standard EMI,No,1460000,Yes,No,Fixed,6.5,9.26
40,Female,Single,2,Part-time,600000,2,668,4,1,2510000,81,29,18,Standard EMI,No,110000,Yes,Yes,Fixed,6.5,8.6
43,Female,Married,3,Contractual,1670000,20,660,0,1,1640000,83,36,14,Standard EMI,Yes,1990000,No,Yes,Fixed,6.5,9.16
25,Male,Single,1,Contractual,330000,6,528,0,0,1480000,83,43,27,Step-up EMI,Yes,1320000,Yes,No,Floating,6.5,9.28
25,Other,Single,1,Part-time,790000,6,683,2,2,220000,81,41,25,Standard EMI,No,2370000,Yes,Yes,Floating,6.5,8.76
45,Male,Married,1,Contractual,1560000,3,658,0,2,4240000,85,26,20,Standard EMI,No,600000,Yes,Yes,Fixed,6.5,8.36
32,Male,Widowed,3,Salaried,2700000,6,849,2,1,2080000,76,25,17,Standard EMI,No,1290000,Yes,Yes,Floating,6.5,6.94
32,Other,Single,1,Contractual,1650000,11,755,5,1,3190000,84,33,23,Step-up EMI,Yes,520000,Yes,Yes,Floating,6.5,5.39
