product_type,credit_score,years_with_bank,deposit_amount,repayment_history,market_trend,credit_score_adjustment,years_with_bank_adjustment,deposit_amount_adjustment,repayment_history_adjustment,market_trend_adjustment,final_interest_rate_adjustment_bps,adjusted_interest_rate
Fixed Deposit,649,10,650322,good,stable,0,25,50,0,0,75,0.0575
Home Loan,647,16,410532,poor,falling,0,50,0,-50,0,0,0.08
Home Loan,507,5,506201,excellent,rising,-50,0,0,50,0,0,0.08
Home Loan,528,7,94845,excellent,stable,-50,25,0,50,0,25,0.0825
Home Loan,795,0,983434,good,falling,50,0,0,0,0,50,0.085
Fixed Deposit,708,9,304259,good,stable,0,25,25,0,0,50,0.055
Fixed Deposit,627,18,947285,poor,falling,0,50,50,0,-25,75,0.0575
Fixed Deposit,615,2,158417,excellent,falling,0,0,25,0,-25,0,0.05
Home Loan,643,3,163436,excellent,rising,0,0,0,50,0,50,0.085
Fixed Deposit,734,10,288198,poor,falling,0,25,25,0,-25,25,0.052500000000000005
Home Loan,506,14,333303,poor,falling,-50,50,0,-50,0,0,0.08
Fixed Deposit,544,0,538288,good,stable,0,0,50,0,0,50,0.055
Fixed Deposit,738,8,139788,excellent,falling,0,25,25,0,-25,25,0.052500000000000005
Fixed Deposit,654,10,598291,excellent,rising,0,25,50,0,25,100,0.060000000000000005
Home Loan,680,18,680010,excellent,stable,0,50,0,50,0,100,0.09
Fixed Deposit,714,12,871571,poor,rising,0,50,50,0,25,100,0.060000000000000005
Fixed Deposit,587,15,286444,excellent,rising,0,50,25,0,25,100,0.060000000000000005
Home Loan,755,3,888884,good,stable,50,0,0,0,0,50,0.085
Fixed Deposit,572,0,72205,good,stable,0,0,0,0,0,0,0.05
Home Loan,678,19,801419,excellent,stable,0,50,0,50,0,100,0.09
Fixed Deposit,711,12,631243,excellent,stable,0,50,50,0,0,100,0.060000000000000005
Home Loan,792,0,815523,good,stable,50,0,0,0,0,50,0.085
Home Loan,733,4,319608,excellent,rising,0,0,0,50,0,50,0.085
Fixed Deposit,738,4,788006,excellent,stable,0,0,50,0,0,50,0.055
Home Loan,722,13,253729,excellent,falling,0,50,0,50,0,100,0.09
Home Loan,618,13,321984,poor,stable,0,50,0,-50,0,0,0.08
Home Loan,763,7,545832,poor,stable,50,25,0,-50,0,25,0.0825
Home Loan,706,3,352912,good,stable,0,0,0,0,0,0,0.08
Home Loan,594,6,976965,good,stable,-50,25,0,0,0,0,0.08
Home Loan,721,19,857359,good,stable,0,50,0,0,0,50,0.085
Fixed Deposit,775,18,935054,good,falling,0,50,50,0,-25,75,0.0575
Home Loan,730,14,65329,poor,falling,0,50,0,-50,0,0,0.08
Home Loan,618,3,65791,good,stable,0,0,0,0,0,0,0.08
Fixed Deposit,767,18,364771,excellent,stable,0,50,25,0,0,75,0.0575
Fixed Deposit,772,8,441029,poor,stable,0,25,25,0,0,50,0.055
Fixed Deposit,563,12,719732,good,stable,0,50,50,0,0,100,0.060000000000000005
Fixed Deposit,797,13,536106,excellent,stable,0,50,50,0,0,100,0.060000000000000005
Fixed Deposit,510,13,753829,poor,stable,0,50,50,0,0,100,0.060000000000000005
Fixed Deposit,597,9,421698,excellent,stable,0,25,25,0,0,50,0.055
Fixed Deposit,570,15,180436,excellent,stable,0,50,25,0,0,75,0.0575
Home Loan,557,4,137073,good,falling,-50,0,0,0,0,0,0.08
Home Loan,789,5,299894,excellent,stable,50,0,0,50,0,100,0.09
Fixed Deposit,750,1,346514,good,falling,0,0,25,0,-25,0,0.05
Home Loan,775,12,101408,excellent,rising,50,50,0,50,0,100,0.09
Home Loan,549,12,403085,excellent,rising,-50,50,0,50,0,50,0.085
Home Loan,715,18,466919,good,stable,0,50,0,0,0,50,0.085
Fixed Deposit,551,17,196306,good,falling,0,50,25,0,-25,50,0.055
Fixed Deposit,770,18,188604,excellent,falling,0,50,25,0,-25,50,0.055
Home Loan,583,0,347560,poor,rising,-50,0,0,-50,0,0,0.08
Fixed Deposit,792,7,122439,good,rising,0,25,25,0,25,75,0.0575
Home Loan,625,15,592530,excellent,stable,0,50,0,50,0,100,0.09
Home Loan,795,1,755614,excellent,rising,50,0,0,50,0,100,0.09
Home Loan,571,7,915756,poor,stable,-50,25,0,-50,0,0,0.08
Home Loan,795,5,871681,good,stable,50,0,0,0,0,50,0.085
Fixed Deposit,735,15,936556,excellent,stable,0,50,50,0,0,100,0.060000000000000005
Fixed Deposit,555,10,931481,excellent,rising,0,25,50,0,25,100,0.060000000000000005
Fixed Deposit,609,16,289647,good,rising,0,50,25,0,25,100,0.060000000000000005
Home Loan,691,18,921510,excellent,stable,0,50,0,50,0,100,0.09
Fixed Deposit,592,10,344438,good,rising,0,25,25,0,25,75,0.0575
Home Loan,555,7,765144,poor,stable,-50,25,0,-50,0,0,0.08
Fixed Deposit,559,3,446900,excellent,falling,0,0,25,0,-25,0,0.05
Home Loan,637,10,467011,poor,rising,0,25,0,-50,0,0,0.08
Home Loan,538,7,567351,poor,rising,-50,25,0,-50,0,0,0.08
Home Loan,527,8,765661,poor,rising,-50,25,0,-50,0,0,0.08
Fixed Deposit,548,1,512403,poor,falling,0,0,50,0,-25,25,0.052500000000000005
Fixed Deposit,624,15,191503,poor,rising,0,50,25,0,25,100,0.060000000000000005
Fixed Deposit,512,5,518883,good,falling,0,0,50,0,-25,25,0.052500000000000005
Fixed Deposit,535,18,401771,good,stable,0,50,25,0,0,75,0.0575
Home Loan,600,7,140381,good,stable,0,25,0,0,0,25,0.0825
Fixed Deposit,781,13,402171,poor,rising,0,50,25,0,25,100,0.060000000000000005
Fixed Deposit,585,15,302641,excellent,stable,0,50,25,0,0,75,0.0575
Home Loan,503,11,760732,excellent,stable,-50,50,0,50,0,50,0.085
Home Loan,722,4,906798,excellent,stable,0,0,0,50,0,50,0.085
Home Loan,665,18,144176,poor,stable,0,50,0,-50,0,0,0.08
Fixed Deposit,777,17,693955,good,stable,0,50,50,0,0,100,0.060000000000000005
Home Loan,629,8,385014,good,stable,0,25,0,0,0,25,0.0825
Home Loan,530,1,621675,excellent,stable,-50,0,0,50,0,0,0.08
Home Loan,510,19,758287,good,stable,-50,50,0,0,0,0,0.08
Fixed Deposit,595,11,845736,excellent,stable,0,50,50,0,0,100,0.060000000000000005
Home Loan,689,1,556399,good,rising,0,0,0,0,0,0,0.08
Fixed Deposit,691,9,853464,excellent,stable,0,25,50,0,0,75,0.0575
Fixed Deposit,765,0,141291,poor,stable,0,0,25,0,0,25,0.052500000000000005
Home Loan,627,3,949321,good,rising,0,0,0,0,0,0,0.08
Home Loan,737,11,109486,good,stable,0,50,0,0,0,50,0.085
Fixed Deposit,611,8,639840,good,rising,0,25,50,0,25,100,0.060000000000000005
Home Loan,644,3,472870,good,rising,0,0,0,0,0,0,0.08
Home Loan,564,8,89244,excellent,falling,-50,25,0,50,0,25,0.0825
Fixed Deposit,746,5,449158,good,stable,0,0,25,0,0,25,0.052500000000000005
Fixed Deposit,722,0,100697,poor,stable,0,0,25,0,0,25,0.052500000000000005
Home Loan,605,9,962463,good,falling,0,25,0,0,0,25,0.0825
Fixed Deposit,680,13,839125,good,rising,0,50,50,0,25,100,0.060000000000000005
Home Loan,683,17,762111,poor,falling,0,50,0,-50,0,0,0.08
Home Loan,725,5,131098,poor,rising,0,0,0,-50,0,0,0.08
Home Loan,764,17,580547,good,stable,50,50,0,0,0,100,0.09
Fixed Deposit,777,19,694034,good,stable,0,50,50,0,0,100,0.060000000000000005
Home Loan,588,15,557099,poor,falling,-50,50,0,-50,0,0,0.08
Home Loan,675,14,157772,poor,stable,0,50,0,-50,0,0,0.08
Home Loan,517,15,167928,poor,stable,-50,50,0,-50,0,0,0.08
Fixed Deposit,605,7,972446,good,stable,0,25,50,0,0,75,0.0575
Fixed Deposit,770,12,97419,excellent,rising,0,50,0,0,25,75,0.0575
Fixed Deposit,666,10,414236,excellent,stable,0,25,25,0,0,50,0.055
Fixed Deposit,512,6,368249,excellent,rising,0,25,25,0,25,75,0.0575
Fixed Deposit,531,16,246979,poor,stable,0,50,25,0,0,75,0.0575
Home Loan,539,17,732743,poor,stable,-50,50,0,-50,0,0,0.08
Fixed Deposit,647,18,73404,good,falling,0,50,0,0,-25,25,0.052500000000000005
Fixed Deposit,717,12,909088,good,stable,0,50,50,0,0,100,0.060000000000000005
Fixed Deposit,718,14,186774,excellent,falling,0,50,25,0,-25,50,0.055
Home Loan,581,0,517099,good,rising,-50,0,0,0,0,0,0.08
Fixed Deposit,707,15,150965,good,rising,0,50,25,0,25,100,0.060000000000000005
Fixed Deposit,700,4,630620,good,stable,0,0,50,0,0,50,0.055
Home Loan,537,2,220491,excellent,stable,-50,0,0,50,0,0,0.08
Fixed Deposit,710,9,795936,good,stable,0,25,50,0,0,75,0.0575
Home Loan,748,18,677470,excellent,falling,0,50,0,50,0,100,0.09
Home Loan,726,4,423539,poor,rising,0,0,0,-50,0,0,0.08
Home Loan,547,6,939051,excellent,stable,-50,25,0,50,0,25,0.0825
Home Loan,517,13,531294,poor,rising,-50,50,0,-50,0,0,0.08
Home Loan,794,2,158269,excellent,rising,50,0,0,50,0,100,0.09
Fixed Deposit,695,12,910276,excellent,rising,0,50,50,0,25,100,0.060000000000000005
Home Loan,686,12,482458,good,falling,0,50,0,0,0,50,0.085
Home Loan,723,9,961415,good,stable,0,25,0,0,0,25,0.0825
Fixed Deposit,728,1,84142,good,rising,0,0,0,0,25,25,0.052500000000000005
Home Loan,576,5,159699,excellent,stable,-50,0,0,50,0,0,0.08
Fixed Deposit,687,7,670514,excellent,stable,0,25,50,0,0,75,0.0575
Fixed Deposit,769,3,319537,good,falling,0,0,25,0,-25,0,0.05
Fixed Deposit,594,11,775299,excellent,stable,0,50,50,0,0,100,0.060000000000000005
Home Loan,631,14,774442,excellent,rising,0,50,0,50,0,100,0.09
Home Loan,538,7,152281,good,falling,-50,25,0,0,0,0,0.08
Home Loan,571,6,472109,excellent,rising,-50,25,0,50,0,25,0.0825
Fixed Deposit,780,13,583676,excellent,stable,0,50,50,0,0,100,0.060000000000000005
Home Loan,659,18,561315,excellent,stable,0,50,0,50,0,100,0.09
Home Loan,686,13,550508,poor,rising,0,50,0,-50,0,0,0.08
Home Loan,690,12,112969,excellent,stable,0,50,0,50,0,100,0.09
Fixed Deposit,619,0,610948,poor,rising,0,0,50,0,25,75,0.0575
Fixed Deposit,719,18,139244,excellent,falling,0,50,25,0,-25,50,0.055
Home Loan,552,0,992230,good,rising,-50,0,0,0,0,0,0.08
Home Loan,721,3,653832,excellent,stable,0,0,0,50,0,50,0.085
Home Loan,630,9,806913,good,stable,0,25,0,0,0,25,0.0825
Home Loan,736,2,244068,poor,rising,0,0,0,-50,0,0,0.08
Fixed Deposit,745,19,443327,poor,stable,0,50,25,0,0,75,0.0575
Fixed Deposit,725,8,689658,good,falling,0,25,50,0,-25,50,0.055
Fixed Deposit,707,2,591833,poor,stable,0,0,50,0,0,50,0.055
Fixed Deposit,595,5,707739,excellent,stable,0,0,50,0,0,50,0.055
Home Loan,699,5,276845,good,stable,0,0,0,0,0,0,0.08
Home Loan,746,11,554700,good,falling,0,50,0,0,0,50,0.085
Home Loan,571,0,923778,poor,rising,-50,0,0,-50,0,0,0.08
Fixed Deposit,684,15,746480,excellent,stable,0,50,50,0,0,100,0.060000000000000005
Home Loan,505,4,329953,poor,rising,-50,0,0,-50,0,0,0.08
Fixed Deposit,705,8,517221,good,falling,0,25,50,0,-25,50,0.055
Fixed Deposit,531,9,340111,good,falling,0,25,25,0,-25,25,0.052500000000000005
Home Loan,598,12,977252,excellent,falling,-50,50,0,50,0,50,0.085
Home Loan,755,14,73424,good,falling,50,50,0,0,0,100,0.09
Home Loan,686,11,991418,good,rising,0,50,0,0,0,50,0.085
Fixed Deposit,575,4,800963,good,rising,0,0,50,0,25,75,0.0575
Home Loan,676,4,944843,poor,rising,0,0,0,-50,0,0,0.08
Fixed Deposit,786,17,783838,good,stable,0,50,50,0,0,100,0.060000000000000005
Home Loan,754,11,462707,good,stable,50,50,0,0,0,100,0.09
Fixed Deposit,689,2,230526,poor,falling,0,0,25,0,-25,0,0.05
Fixed Deposit,626,6,382213,good,stable,0,25,25,0,0,50,0.055
Home Loan,786,16,232997,good,stable,50,50,0,0,0,100,0.09
Fixed Deposit,753,18,925551,excellent,falling,0,50,50,0,-25,75,0.0575
Fixed Deposit,712,17,611337,excellent,rising,0,50,50,0,25,100,0.060000000000000005
Home Loan,749,0,339965,good,rising,0,0,0,0,0,0,0.08
Fixed Deposit,583,4,932229,poor,stable,0,0,50,0,0,50,0.055
Home Loan,512,1,735305,excellent,stable,-50,0,0,50,0,0,0.08
Fixed Deposit,544,0,984888,excellent,falling,0,0,50,0,-25,25,0.052500000000000005
Home Loan,626,6,471626,good,stable,0,25,0,0,0,25,0.0825
Home Loan,613,10,127734,excellent,falling,0,25,0,50,0,75,0.0875
Fixed Deposit,775,10,506982,good,stable,0,25,50,0,0,75,0.0575
Fixed Deposit,704,17,275962,good,rising,0,50,25,0,25,100,0.060000000000000005
Fixed Deposit,772,16,559622,excellent,rising,0,50,50,0,25,100,0.060000000000000005
Fixed Deposit,557,1,450385,poor,rising,0,0,25,0,25,50,0.055
Fixed Deposit,718,6,409589,good,rising,0,25,25,0,25,75,0.0575
Home Loan,608,6,578118,good,stable,0,25,0,0,0,25,0.0825
Fixed Deposit,778,9,923372,excellent,stable,0,25,50,0,0,75,0.0575
Home Loan,673,2,246339,good,stable,0,0,0,0,0,0,0.08
Home Loan,763,11,208829,poor,stable,50,50,0,-50,0,50,0.085
Fixed Deposit,610,2,113867,excellent,rising,0,0,25,0,25,50,0.055
Home Loan,686,10,739126,excellent,stable,0,25,0,50,0,75,0.0875
Home Loan,768,11,868851,excellent,stable,50,50,0,50,0,100,0.09
Home Loan,728,3,853100,excellent,falling,0,0,0,50,0,50,0.085
Home Loan,655,15,459462,excellent,falling,0,50,0,50,0,100,0.09
Fixed Deposit,688,19,74996,excellent,falling,0,50,0,0,-25,25,0.052500000000000005
Home Loan,771,17,363456,poor,falling,50,50,0,-50,0,50,0.085
Fixed Deposit,501,3,708425,good,rising,0,0,50,0,25,75,0.0575
Fixed Deposit,745,5,322611,excellent,rising,0,0,25,0,25,50,0.055
Home Loan,709,14,291452,good,falling,0,50,0,0,0,50,0.085
Fixed Deposit,785,0,726367,excellent,stable,0,0,50,0,0,50,0.055
Fixed Deposit,512,2,773439,good,stable,0,0,50,0,0,50,0.055
Fixed Deposit,595,4,340846,excellent,falling,0,0,25,0,-25,0,0.05
Home Loan,720,16,668657,excellent,stable,0,50,0,50,0,100,0.09
Fixed Deposit,737,13,649857,poor,rising,0,50,50,0,25,100,0.060000000000000005
Fixed Deposit,593,8,366096,excellent,rising,0,25,25,0,25,75,0.0575
Fixed Deposit,768,2,608457,poor,rising,0,0,50,0,25,75,0.0575
Home Loan,670,12,66829,good,falling,0,50,0,0,0,50,0.085
Fixed Deposit,593,2,54522,excellent,stable,0,0,0,0,0,0,0.05
Home Loan,648,10,922119,good,falling,0,25,0,0,0,25,0.0825
Home Loan,611,1,478535,good,falling,0,0,0,0,0,0,0.08
Home Loan,554,14,432478,excellent,rising,-50,50,0,50,0,50,0.085
Home Loan,615,12,994047,excellent,rising,0,50,0,50,0,100,0.09
Home Loan,642,18,168576,excellent,stable,0,50,0,50,0,100,0.09
Home Loan,700,15,546336,poor,falling,0,50,0,-50,0,0,0.08
Fixed Deposit,679,17,953851,good,rising,0,50,50,0,25,100,0.060000000000000005
Home Loan,701,6,211545,excellent,falling,0,25,0,50,0,75,0.0875
Fixed Deposit,552,12,844131,poor,stable,0,50,50,0,0,100,0.060000000000000005
Fixed Deposit,679,3,118165,excellent,rising,0,0,25,0,25,50,0.055
Home Loan,636,8,483671,excellent,falling,0,25,0,50,0,75,0.0875
Fixed Deposit,681,9,649980,excellent,rising,0,25,50,0,25,100,0.060000000000000005
Fixed Deposit,500,8,591729,good,stable,0,25,50,0,0,75,0.0575
Fixed Deposit,543,6,80716,excellent,rising,0,25,0,0,25,50,0.055
Fixed Deposit,726,14,636463,good,falling,0,50,50,0,-25,75,0.0575
Home Loan,597,7,56834,poor,falling,-50,25,0,-50,0,0,0.08
Fixed Deposit,707,18,566853,excellent,falling,0,50,50,0,-25,75,0.0575
Home Loan,764,10,311609,excellent,rising,50,25,0,50,0,100,0.09
Fixed Deposit,787,4,68179,excellent,rising,0,0,0,0,25,25,0.052500000000000005
Fixed Deposit,770,1,338363,good,stable,0,0,25,0,0,25,0.052500000000000005
Home Loan,639,9,153153,poor,rising,0,25,0,-50,0,0,0.08
Fixed Deposit,736,15,721142,excellent,stable,0,50,50,0,0,100,0.060000000000000005
Fixed Deposit,571,12,524579,excellent,stable,0,50,50,0,0,100,0.060000000000000005
Fixed Deposit,654,7,828263,excellent,rising,0,25,50,0,25,100,0.060000000000000005
Home Loan,689,8,649255,excellent,falling,0,25,0,50,0,75,0.0875
Fixed Deposit,767,10,938886,good,falling,0,25,50,0,-25,50,0.055
Home Loan,606,10,583784,excellent,falling,0,25,0,50,0,75,0.0875
Fixed Deposit,731,15,794227,excellent,stable,0,50,50,0,0,100,0.060000000000000005
Home Loan,541,9,744598,good,stable,-50,25,0,0,0,0,0.08
Home Loan,689,11,96025,excellent,rising,0,50,0,50,0,100,0.09
Fixed Deposit,638,5,310281,good,rising,0,0,25,0,25,50,0.055
Fixed Deposit,602,11,372030,excellent,stable,0,50,25,0,0,75,0.0575
Home Loan,670,9,466779,poor,falling,0,25,0,-50,0,0,0.08
Home Loan,772,17,840144,excellent,rising,50,50,0,50,0,100,0.09
Fixed Deposit,720,17,406211,poor,rising,0,50,25,0,25,100,0.060000000000000005
Home Loan,712,3,357633,excellent,rising,0,0,0,50,0,50,0.085
Fixed Deposit,555,8,82664,good,rising,0,25,0,0,25,50,0.055
Fixed Deposit,601,6,816159,excellent,rising,0,25,50,0,25,100,0.060000000000000005
Fixed Deposit,691,17,193492,good,stable,0,50,25,0,0,75,0.0575
Fixed Deposit,699,7,841747,excellent,stable,0,25,50,0,0,75,0.0575
Home Loan,732,10,514133,good,rising,0,25,0,0,0,25,0.0825
Fixed Deposit,726,6,911465,good,rising,0,25,50,0,25,100,0.060000000000000005
Home Loan,638,8,275648,good,stable,0,25,0,0,0,25,0.0825
Fixed Deposit,648,7,692150,good,stable,0,25,50,0,0,75,0.0575
Home Loan,614,2,541127,excellent,rising,0,0,0,50,0,50,0.085
Fixed Deposit,562,16,653318,excellent,falling,0,50,50,0,-25,75,0.0575
Home Loan,603,1,113910,good,stable,0,0,0,0,0,0,0.08
Home Loan,655,14,802648,excellent,stable,0,50,0,50,0,100,0.09
Fixed Deposit,772,13,957507,excellent,falling,0,50,50,0,-25,75,0.0575
Fixed Deposit,505,17,796253,excellent,stable,0,50,50,0,0,100,0.060000000000000005
Fixed Deposit,646,15,368063,excellent,falling,0,50,25,0,-25,50,0.055
Fixed Deposit,683,19,786648,good,falling,0,50,50,0,-25,75,0.0575
Home Loan,527,3,546142,good,rising,-50,0,0,0,0,0,0.08
Fixed Deposit,537,19,447348,poor,falling,0,50,25,0,-25,50,0.055
Home Loan,618,5,439297,excellent,rising,0,0,0,50,0,50,0.085
Home Loan,792,5,91598,poor,rising,50,0,0,-50,0,0,0.08
Fixed Deposit,743,10,537028,good,falling,0,25,50,0,-25,50,0.055
Home Loan,567,16,548515,poor,falling,-50,50,0,-50,0,0,0.08
Home Loan,713,2,988055,poor,stable,0,0,0,-50,0,0,0.08
Home Loan,717,12,904638,good,rising,0,50,0,0,0,50,0.085
Home Loan,676,2,387044,excellent,stable,0,0,0,50,0,50,0.085
Fixed Deposit,798,15,76296,excellent,stable,0,50,0,0,0,50,0.055
Fixed Deposit,663,14,199138,excellent,rising,0,50,25,0,25,100,0.060000000000000005
Fixed Deposit,557,10,209964,poor,falling,0,25,25,0,-25,25,0.052500000000000005
Fixed Deposit,768,17,649865,poor,stable,0,50,50,0,0,100,0.060000000000000005
Home Loan,557,14,779950,good,rising,-50,50,0,0,0,0,0.08
Home Loan,787,4,651461,poor,rising,50,0,0,-50,0,0,0.08
Fixed Deposit,604,15,519509,poor,stable,0,50,50,0,0,100,0.060000000000000005
Fixed Deposit,727,15,114771,good,stable,0,50,25,0,0,75,0.0575
Fixed Deposit,746,16,550010,good,rising,0,50,50,0,25,100,0.060000000000000005
Home Loan,687,8,994988,good,falling,0,25,0,0,0,25,0.0825
Fixed Deposit,582,2,914297,good,rising,0,0,50,0,25,75,0.0575
Fixed Deposit,685,19,149074,excellent,stable,0,50,25,0,0,75,0.0575
Fixed Deposit,751,12,573136,good,falling,0,50,50,0,-25,75,0.0575
Home Loan,737,2,470331,good,rising,0,0,0,0,0,0,0.08
Home Loan,683,6,731398,good,stable,0,25,0,0,0,25,0.0825
Home Loan,783,5,610910,poor,falling,50,0,0,-50,0,0,0.08
Home Loan,709,8,348030,excellent,stable,0,25,0,50,0,75,0.0875
Home Loan,795,11,190973,excellent,stable,50,50,0,50,0,100,0.09
Home Loan,596,14,892809,poor,falling,-50,50,0,-50,0,0,0.08
Home Loan,707,19,132910,good,falling,0,50,0,0,0,50,0.085
Home Loan,636,2,230934,excellent,rising,0,0,0,50,0,50,0.085
Fixed Deposit,683,9,431136,good,stable,0,25,25,0,0,50,0.055
Fixed Deposit,575,0,563271,good,rising,0,0,50,0,25,75,0.0575
Home Loan,786,18,555042,poor,rising,50,50,0,-50,0,50,0.085
Home Loan,641,18,213878,good,rising,0,50,0,0,0,50,0.085
Fixed Deposit,736,12,723019,excellent,falling,0,50,50,0,-25,75,0.0575
Home Loan,524,11,204525,good,stable,-50,50,0,0,0,0,0.08
Home Loan,789,0,998002,poor,rising,50,0,0,-50,0,0,0.08
Home Loan,566,18,513609,good,rising,-50,50,0,0,0,0,0.08
Fixed Deposit,749,15,852744,poor,falling,0,50,50,0,-25,75,0.0575
Fixed Deposit,617,14,837868,excellent,stable,0,50,50,0,0,100,0.060000000000000005
Fixed Deposit,572,15,864001,poor,stable,0,50,50,0,0,100,0.060000000000000005
Fixed Deposit,781,10,502029,good,falling,0,25,50,0,-25,50,0.055
Fixed Deposit,509,5,691075,good,stable,0,0,50,0,0,50,0.055
Home Loan,710,10,664773,excellent,rising,0,25,0,50,0,75,0.0875
Fixed Deposit,651,2,751346,poor,stable,0,0,50,0,0,50,0.055
Home Loan,504,14,414699,good,falling,-50,50,0,0,0,0,0.08
Home Loan,694,0,758537,poor,falling,0,0,0,-50,0,0,0.08
Fixed Deposit,782,6,452521,excellent,rising,0,25,25,0,25,75,0.0575
Fixed Deposit,612,0,82646,excellent,rising,0,0,0,0,25,25,0.052500000000000005
Home Loan,770,16,126126,excellent,rising,50,50,0,50,0,100,0.09
Home Loan,662,8,564116,good,stable,0,25,0,0,0,25,0.0825
Home Loan,604,12,692210,good,falling,0,50,0,0,0,50,0.085
Fixed Deposit,680,10,305217,good,rising,0,25,25,0,25,75,0.0575
Fixed Deposit,543,19,876862,good,falling,0,50,50,0,-25,75,0.0575
Fixed Deposit,781,5,434382,poor,stable,0,0,25,0,0,25,0.052500000000000005
Fixed Deposit,674,0,642947,excellent,falling,0,0,50,0,-25,25,0.052500000000000005
Fixed Deposit,661,6,689629,excellent,falling,0,25,50,0,-25,50,0.055
Home Loan,639,11,578446,poor,stable,0,50,0,-50,0,0,0.08
Fixed Deposit,631,19,124236,good,stable,0,50,25,0,0,75,0.0575
Home Loan,586,18,126067,good,stable,-50,50,0,0,0,0,0.08
Home Loan,675,16,733098,good,falling,0,50,0,0,0,50,0.085
Home Loan,682,3,59879,good,rising,0,0,0,0,0,0,0.08
Fixed Deposit,628,2,186615,excellent,falling,0,0,25,0,-25,0,0.05
Fixed Deposit,745,0,686572,good,rising,0,0,50,0,25,75,0.0575
Fixed Deposit,588,17,228996,poor,rising,0,50,25,0,25,100,0.060000000000000005
Home Loan,565,14,485564,good,rising,-50,50,0,0,0,0,0.08
Home Loan,657,7,396261,excellent,falling,0,25,0,50,0,75,0.0875
Home Loan,648,0,260190,good,stable,0,0,0,0,0,0,0.08
Home Loan,615,19,618176,excellent,rising,0,50,0,50,0,100,0.09
Home Loan,713,13,866708,excellent,falling,0,50,0,50,0,100,0.09
Home Loan,793,3,579087,poor,falling,50,0,0,-50,0,0,0.08
Fixed Deposit,752,4,533843,excellent,falling,0,0,50,0,-25,25,0.052500000000000005
Fixed Deposit,642,12,799130,poor,rising,0,50,50,0,25,100,0.060000000000000005
Fixed Deposit,749,14,424673,good,rising,0,50,25,0,25,100,0.060000000000000005
Fixed Deposit,524,5,961145,good,stable,0,0,50,0,0,50,0.055
Home Loan,776,0,563264,good,falling,50,0,0,0,0,50,0.085
Home Loan,569,18,140141,excellent,stable,-50,50,0,50,0,50,0.085
Fixed Deposit,612,12,427157,good,stable,0,50,25,0,0,75,0.0575
Home Loan,611,5,343812,poor,falling,0,0,0,-50,0,0,0.08
Fixed Deposit,590,14,185183,good,rising,0,50,25,0,25,100,0.060000000000000005
Fixed Deposit,517,15,467902,good,stable,0,50,25,0,0,75,0.0575
Fixed Deposit,648,15,253623,poor,stable,0,50,25,0,0,75,0.0575
Home Loan,726,9,908824,excellent,rising,0,25,0,50,0,75,0.0875
Fixed Deposit,713,8,66490,excellent,rising,0,25,0,0,25,50,0.055
Fixed Deposit,650,8,478410,excellent,falling,0,25,25,0,-25,25,0.052500000000000005
Fixed Deposit,691,16,982001,good,falling,0,50,50,0,-25,75,0.0575
Home Loan,539,16,824426,poor,rising,-50,50,0,-50,0,0,0.08
Home Loan,741,16,496732,good,rising,0,50,0,0,0,50,0.085
Fixed Deposit,637,11,691507,poor,rising,0,50,50,0,25,100,0.060000000000000005
Home Loan,679,12,531946,good,falling,0,50,0,0,0,50,0.085
Home Loan,699,11,618392,excellent,stable,0,50,0,50,0,100,0.09
Home Loan,702,13,579604,excellent,falling,0,50,0,50,0,100,0.09
Home Loan,560,9,88130,poor,falling,-50,25,0,-50,0,0,0.08
Home Loan,691,18,513445,excellent,stable,0,50,0,50,0,100,0.09
Home Loan,504,1,419438,good,rising,-50,0,0,0,0,0,0.08
Home Loan,736,3,866386,excellent,stable,0,0,0,50,0,50,0.085
Home Loan,680,18,425581,excellent,rising,0,50,0,50,0,100,0.09
Home Loan,536,6,989156,good,rising,-50,25,0,0,0,0,0.08
Home Loan,555,14,195250,excellent,rising,-50,50,0,50,0,50,0.085
Fixed Deposit,736,14,232235,poor,stable,0,50,25,0,0,75,0.0575
Fixed Deposit,696,5,982255,good,stable,0,0,50,0,0,50,0.055
Home Loan,572,2,970548,good,stable,-50,0,0,0,0,0,0.08
Fixed Deposit,558,5,637453,good,stable,0,0,50,0,0,50,0.055
Fixed Deposit,739,15,454696,good,rising,0,50,25,0,25,100,0.060000000000000005
Home Loan,501,1,770799,poor,falling,-50,0,0,-50,0,0,0.08
Home Loan,687,6,487090,excellent,falling,0,25,0,50,0,75,0.0875
Home Loan,529,10,809893,excellent,rising,-50,25,0,50,0,25,0.0825
Fixed Deposit,766,6,641063,excellent,stable,0,25,50,0,0,75,0.0575
Fixed Deposit,607,3,449782,poor,stable,0,0,25,0,0,25,0.052500000000000005
Home Loan,589,19,397455,poor,rising,-50,50,0,-50,0,0,0.08
Home Loan,704,6,545733,excellent,rising,0,25,0,50,0,75,0.0875
Home Loan,719,3,627437,good,falling,0,0,0,0,0,0,0.08
Fixed Deposit,593,11,970510,excellent,rising,0,50,50,0,25,100,0.060000000000000005
Fixed Deposit,602,4,384705,excellent,stable,0,0,25,0,0,25,0.052500000000000005
Fixed Deposit,722,18,462639,good,falling,0,50,25,0,-25,50,0.055
Fixed Deposit,685,4,664998,excellent,stable,0,0,50,0,0,50,0.055
Home Loan,683,18,142199,good,rising,0,50,0,0,0,50,0.085
