credit_score,years_with_bank,deposit_amount,repayment_history,market_trend,credit_score_adjustment,years_with_bank_adjustment,deposit_amount_adjustment,repayment_history_adjustment,market_trend_adjustment,final_interest_rate_adjustment_bps,adjusted_interest_rate,product_type
502,19,59452377,excellent,stable,12,91,68,98,-23,246,9.96,Home Loans
523,14,28093873,good,rising,-11,58,96,0,25,168,9.18,Home Loans
692,16,30866422,excellent,rising,6,66,92,80,31,275,10.25,Fixed Deposits
780,7,49971682,excellent,rising,76,30,56,97,45,35,7.85,Home Loans
673,1,54087167,poor,rising,12,20,73,-70,40,75,8.25,Fixed Deposits
769,16,68944754,excellent,rising,50,84,88,65,49,298,10.48,Fixed Deposits
834,17,60826127,excellent,rising,90,74,81,50,40,204,9.54,Home Loans
761,4,69485756,excellent,rising,63,24,72,95,47,-93,7.79,Home Loans
433,8,16538127,excellent,rising,-98,31,99,83,41,156,9.06,Home Loans
462,8,8806053,poor,rising,-71,33,43,-75,25,-45,7.77,Home Loans
681,1,24388749,excellent,stable,5,21,97,79,-8,194,9.44,Fixed Deposits
727,1,38653686,excellent,falling,-25,5,52,90,-44,78,8.28,Home Loans
390,18,60350326,poor,rising,-55,81,74,-50,47,97,8.47,Fixed Deposits
454,2,2131916,good,rising,-87,25,49,-21,33,-1,8.16,Home Loans
551,16,94583508,excellent,falling,10,97,55,73,-48,187,9.37,Home Loans
799,13,53736475,poor,stable,95,68,82,-91,22,176,9.26,Fixed Deposits
615,13,22023932,good,rising,10,100,82,12,27,231,9.81,Home Loans
559,13,51625875,excellent,stable,17,66,64,84,-2,229,9.79,Home Loans
467,5,55047675,good,rising,-60,-20,69,-24,30,-5,8.43,Home Loans
726,2,85093704,poor,stable,17,-1,92,-72,-7,29,7.79,Fixed Deposits
900,0,6454954,excellent,falling,64,7,34,68,-27,146,8.96,Home Loans
889,15,49199887,good,rising,87,68,81,12,38,286,10.36,Fixed Deposits
433,3,77398867,poor,falling,-76,-11,73,-59,-48,-121,7.78,Fixed Deposits
803,0,16939774,good,rising,93,9,52,24,30,208,9.58,Home Loans
863,16,72022786,excellent,stable,94,98,53,63,-9,299,10.49,Home Loans
736,17,89528522,excellent,rising,24,81,93,77,28,-110,7.76,Fixed Deposits
699,7,61090112,good,stable,-12,30,55,8,-4,77,8.27,Fixed Deposits
645,1,26525350,excellent,rising,-2,10,68,53,45,174,9.24,Home Loans
607,17,28211453,poor,stable,17,81,75,-54,-22,97,8.47,Home Loans
430,15,81729071,excellent,stable,-99,81,97,74,-16,137,8.87,Home Loans
617,9,42223263,excellent,rising,25,32,74,55,39,225,9.75,Fixed Deposits
768,7,56808333,good,rising,83,46,74,2,41,246,9.96,Home Loans
584,11,2651961,good,rising,23,85,34,12,44,198,9.48,Home Loans
660,15,92906307,excellent,stable,-3,83,87,58,23,248,9.98,Home Loans
706,11,98613618,excellent,falling,-18,59,69,67,-40,137,8.87,Home Loans
562,10,42649907,good,rising,-21,93,54,5,50,181,9.31,Fixed Deposits
398,19,27298663,poor,stable,-72,82,91,-79,-22,0,8.23,Home Loans
476,18,37129385,good,rising,-58,93,93,-22,37,143,8.93,Home Loans
572,0,21883427,excellent,rising,7,-16,99,82,43,215,9.65,Fixed Deposits
628,2,11865771,excellent,rising,-6,18,84,85,38,219,9.69,Home Loans
757,11,16260436,poor,stable,65,100,54,-66,17,170,9.2,Home Loans
854,8,71322900,poor,falling,86,27,84,-88,-29,80,8.3,Home Loans
643,4,14171670,excellent,falling,22,-4,52,64,-45,89,8.39,Fixed Deposits
626,0,65601225,good,rising,11,25,90,7,40,173,9.23,Fixed Deposits
787,9,14947527,excellent,stable,91,47,81,77,0,296,10.46,Home Loans
456,16,49233342,good,rising,-60,56,85,22,35,138,8.88,Fixed Deposits
769,3,62711128,poor,rising,73,-5,79,-67,43,123,8.73,Home Loans
778,14,96782959,excellent,rising,100,50,98,87,30,-171,7.52,Fixed Deposits
724,18,64911001,good,rising,3,62,88,-25,36,164,9.14,Home Loans
422,7,97371798,excellent,stable,-66,33,78,80,-7,118,8.68,Home Loans
379,14,99982038,excellent,rising,-92,97,75,98,47,225,9.75,Fixed Deposits
537,6,70579788,good,falling,-4,42,94,-9,-33,90,8.4,Fixed Deposits
713,14,26019268,excellent,rising,-6,96,74,71,38,273,10.23,Home Loans
800,7,28609612,good,rising,89,44,61,6,33,233,9.83,Fixed Deposits
544,9,92112589,excellent,rising,-22,39,67,78,34,196,9.46,Home Loans
505,17,37426052,good,rising,17,96,75,-25,39,202,9.52,Fixed Deposits
521,3,92789542,excellent,falling,10,-16,64,97,-33,122,8.72,Fixed Deposits
390,14,40311763,good,rising,-89,75,54,2,41,83,8.33,Home Loans
412,10,95535276,good,falling,-78,99,82,15,-31,87,8.37,Fixed Deposits
372,2,50239579,poor,rising,-62,21,90,-99,37,-13,8.34,Fixed Deposits
709,14,15453903,poor,rising,-18,93,58,-76,48,105,8.55,Fixed Deposits
424,2,92866610,excellent,rising,-91,-25,81,70,40,75,8.25,Home Loans
467,14,67887861,excellent,falling,-78,94,62,86,-44,120,8.7,Home Loans
729,5,49665695,good,rising,3,-9,92,0,30,116,8.66,Home Loans
639,0,92374680,good,falling,19,-9,77,14,-38,63,8.13,Home Loans
789,13,73698833,excellent,rising,81,88,72,50,50,-2,7.89,Fixed Deposits
356,15,10720586,excellent,rising,-87,92,73,81,36,195,9.45,Home Loans
545,0,95794260,good,stable,-10,-14,90,-17,-11,38,7.88,Fixed Deposits
770,16,73003992,poor,rising,88,90,80,-55,28,231,9.81,Fixed Deposits
542,7,64000546,poor,rising,22,39,54,-52,48,111,8.61,Fixed Deposits
497,17,43177418,excellent,falling,-84,50,95,54,-39,76,8.26,Home Loans
551,15,2518033,excellent,rising,-6,81,40,89,44,248,9.98,Fixed Deposits
793,5,31391107,excellent,stable,100,-15,51,66,-16,186,9.36,Fixed Deposits
768,9,89322735,excellent,rising,61,29,96,78,32,296,10.46,Fixed Deposits
776,9,31941447,good,rising,58,43,79,18,38,236,9.86,Home Loans
828,4,61369380,good,rising,57,-8,98,-7,38,178,9.28,Home Loans
824,11,44531438,excellent,stable,90,99,54,89,6,28,7.78,Home Loans
475,19,49196750,excellent,stable,-64,67,59,78,-5,135,8.85,Home Loans
744,16,76853079,excellent,stable,-5,72,96,100,3,266,10.16,Fixed Deposits
674,13,46838530,poor,stable,16,56,85,-89,4,72,8.22,Fixed Deposits
741,13,22968780,excellent,rising,6,95,85,57,49,292,10.42,Fixed Deposits
789,2,78452835,excellent,rising,86,0,56,92,31,265,10.15,Home Loans
553,11,10840999,good,rising,20,50,78,17,34,199,9.49,Home Loans
835,19,21714168,good,stable,67,77,81,5,3,233,9.83,Fixed Deposits
380,17,13042033,poor,stable,-72,69,76,-86,-16,-29,8.41,Fixed Deposits
737,11,81490219,excellent,rising,-19,90,50,83,46,250,10.0,Fixed Deposits
783,1,64115646,good,rising,89,22,69,0,42,222,9.72,Home Loans
725,1,51985580,excellent,stable,11,-3,83,84,-4,171,9.21,Fixed Deposits
693,16,72657001,poor,falling,-20,81,100,-72,-34,55,8.05,Fixed Deposits
792,9,29690133,good,stable,69,50,85,7,-8,203,9.53,Home Loans
424,17,7181375,poor,rising,-92,87,50,-68,38,15,7.65,Fixed Deposits
504,18,39634361,excellent,stable,-17,88,72,85,-21,207,9.57,Fixed Deposits
779,0,60678594,good,stable,57,-8,82,-5,13,139,8.89,Home Loans
712,3,48655295,excellent,rising,-9,7,50,79,41,168,9.18,Fixed Deposits
797,3,46384580,excellent,stable,73,-1,52,68,8,200,9.5,Fixed Deposits
583,1,56936498,excellent,rising,14,6,99,81,28,228,9.78,Home Loans
611,18,31385634,good,rising,-3,97,84,24,33,235,9.85,Fixed Deposits
474,11,45241383,excellent,falling,-68,99,84,50,-43,122,8.72,Home Loans
594,9,78770455,poor,falling,-4,42,62,-50,-25,25,7.75,Home Loans
891,12,92098076,good,rising,99,100,82,7,49,-58,8.22,Fixed Deposits
834,19,43253291,excellent,rising,96,77,62,75,28,-121,8.3,Fixed Deposits
471,14,98680520,good,stable,-79,62,71,16,17,87,8.37,Fixed Deposits
474,2,59279477,excellent,rising,-74,-7,54,94,31,98,8.48,Home Loans
898,19,27857311,excellent,rising,97,52,66,76,35,-78,7.68,Home Loans
519,12,8942033,good,rising,-24,76,35,25,27,139,8.89,Home Loans
473,7,75271751,poor,stable,-70,41,59,-73,18,-25,7.87,Home Loans
384,6,89768099,excellent,rising,-88,35,76,69,32,124,8.74,Fixed Deposits
436,7,64546906,poor,stable,-99,41,64,-93,2,-85,7.79,Home Loans
550,17,73862692,good,rising,20,93,94,0,31,238,9.88,Home Loans
718,8,35466923,excellent,falling,-19,36,91,80,-27,161,9.11,Fixed Deposits
426,5,69229180,good,falling,-90,22,58,-21,-26,-57,8.23,Home Loans
408,3,19720554,good,stable,-54,7,56,-15,-4,-10,7.53,Home Loans
780,14,56553344,excellent,rising,75,77,59,70,37,34,7.84,Home Loans
849,4,8961259,poor,rising,98,-6,33,-93,28,60,8.1,Fixed Deposits
458,4,29140069,good,stable,-80,19,62,0,2,3,7.53,Fixed Deposits
627,6,31983446,excellent,falling,23,26,65,95,-32,177,9.27,Fixed Deposits
417,8,54630903,poor,rising,-86,40,83,-89,27,-25,8.13,Fixed Deposits
418,6,88890722,excellent,rising,-85,31,57,92,35,130,8.8,Fixed Deposits
514,8,91643181,poor,rising,-17,46,80,-88,30,51,8.01,Home Loans
838,19,90521094,excellent,rising,70,51,77,59,40,297,10.47,Fixed Deposits
654,9,65678159,good,rising,25,42,56,3,48,174,9.24,Fixed Deposits
714,3,18028916,excellent,falling,15,2,83,57,-43,114,8.64,Home Loans
728,5,79749467,good,rising,-20,-9,82,16,35,104,8.54,Home Loans
692,13,79657899,excellent,rising,-25,97,53,87,48,260,10.1,Home Loans
703,8,98808396,excellent,falling,5,44,87,50,-42,144,8.94,Home Loans
765,0,14235473,excellent,rising,54,-8,75,58,25,204,9.54,Home Loans
458,16,83783052,poor,falling,-64,77,51,-97,-44,-77,8.38,Fixed Deposits
846,12,82079955,excellent,rising,75,77,81,82,34,242,9.92,Fixed Deposits
690,6,24698248,good,falling,-25,44,88,16,-42,81,8.31,Fixed Deposits
732,8,46275999,poor,rising,-25,40,91,-80,37,63,8.13,Fixed Deposits
882,10,88913361,poor,falling,78,82,90,-94,-33,123,8.73,Home Loans
649,2,76594316,excellent,rising,-4,-5,51,81,40,163,9.13,Fixed Deposits
488,11,26726523,poor,rising,-63,54,75,-62,28,32,7.82,Fixed Deposits
708,2,44673863,excellent,rising,15,21,96,77,30,239,9.89,Home Loans
848,14,21773790,good,rising,68,94,76,0,44,282,10.32,Home Loans
734,9,60031735,good,rising,2,29,64,11,33,139,8.89,Home Loans
629,0,51611948,excellent,falling,-21,-8,70,83,-25,99,8.49,Fixed Deposits
832,13,54801688,excellent,rising,70,54,97,58,36,-117,7.55,Home Loans
460,19,61855573,excellent,stable,-52,97,76,55,2,178,9.28,Home Loans
488,5,37893491,excellent,rising,-79,17,83,71,36,128,8.78,Home Loans
784,1,8248404,poor,falling,69,-15,41,-92,-50,-47,7.8,Fixed Deposits
858,7,18141372,excellent,stable,61,46,60,96,-17,246,9.96,Home Loans
622,0,11026165,poor,falling,-20,-3,72,-56,-41,-48,7.72,Home Loans
448,3,61303948,excellent,rising,-72,0,99,64,41,132,8.82,Fixed Deposits
453,3,21749565,poor,rising,-56,1,71,-100,25,-59,8.51,Home Loans
563,4,32928197,good,rising,14,-23,72,6,45,114,8.64,Fixed Deposits
514,19,95954860,poor,stable,9,100,50,-54,-25,80,8.3,Fixed Deposits
869,8,18809830,excellent,stable,60,34,61,67,16,238,9.88,Fixed Deposits
633,12,94233220,good,stable,7,51,74,-15,-17,100,8.5,Home Loans
866,17,6403298,excellent,rising,74,66,30,84,46,300,10.5,Fixed Deposits
513,16,75303301,excellent,stable,-12,52,99,82,-17,204,9.54,Home Loans
413,0,25791481,good,falling,-72,-23,98,-22,-46,-65,8.5,Home Loans
440,14,50968469,good,rising,-88,89,98,8,46,153,9.03,Fixed Deposits
466,1,64021657,excellent,rising,-86,-10,83,97,26,110,8.6,Fixed Deposits
616,15,34854564,good,stable,-18,61,77,-7,-12,101,8.51,Fixed Deposits
489,19,19300072,good,rising,-54,100,74,22,36,178,9.28,Fixed Deposits
595,4,74776014,excellent,stable,19,-25,67,61,3,125,8.75,Fixed Deposits
744,18,69617060,good,stable,7,100,96,14,-10,207,9.57,Fixed Deposits
836,4,27330424,good,falling,60,-22,50,10,-35,63,8.13,Home Loans
825,1,14450858,excellent,falling,64,-9,81,97,-42,191,9.41,Fixed Deposits
866,6,27392238,good,stable,70,43,78,15,25,231,9.81,Fixed Deposits
533,2,42377026,good,rising,10,-22,69,-4,45,98,8.48,Fixed Deposits
369,16,21724051,poor,rising,-95,96,95,-54,48,90,8.4,Fixed Deposits
873,2,754525,excellent,falling,74,13,37,61,-30,155,9.05,Fixed Deposits
878,12,2172086,poor,stable,93,69,49,-52,-6,153,9.03,Fixed Deposits
496,6,99967390,excellent,stable,-100,41,61,77,-6,73,8.23,Home Loans
653,2,22404444,excellent,rising,16,15,57,64,45,197,9.47,Fixed Deposits
577,14,44873111,excellent,rising,24,88,88,53,43,296,10.46,Home Loans
451,17,74224621,poor,rising,-68,53,57,-93,34,-17,7.63,Home Loans
766,9,3940995,good,rising,88,41,42,5,35,211,9.61,Home Loans
565,6,3376555,excellent,stable,6,39,45,75,-21,144,8.94,Home Loans
756,8,17513874,excellent,stable,51,47,77,52,-6,221,9.71,Fixed Deposits
748,4,66462008,excellent,rising,-1,15,80,88,40,222,9.72,Home Loans
848,19,5350089,excellent,stable,89,77,39,56,-7,254,10.04,Fixed Deposits
814,7,97624867,good,falling,82,40,88,-11,-39,160,9.1,Fixed Deposits
431,13,18420013,good,stable,-50,55,82,-6,-9,72,8.22,Fixed Deposits
714,3,7965899,poor,stable,12,2,30,-84,8,-32,7.7,Home Loans
512,19,87719054,poor,rising,-15,81,72,-69,33,102,8.52,Home Loans
397,13,45050190,good,falling,-82,66,65,-16,-25,8,7.58,Fixed Deposits
860,11,64424439,excellent,rising,74,74,73,65,42,-88,7.53,Home Loans
678,1,35766761,excellent,falling,2,13,70,97,-49,133,8.83,Home Loans
465,12,12955895,good,stable,-91,66,95,0,-5,65,8.15,Home Loans
686,0,98474344,excellent,falling,5,20,57,71,-41,112,8.62,Home Loans
496,19,78297570,good,falling,-85,64,91,-11,-42,17,7.67,Fixed Deposits
672,6,83682481,poor,stable,22,44,66,-89,-23,20,7.7,Home Loans
792,8,77097902,poor,rising,91,45,64,-62,33,171,9.21,Home Loans
362,16,77171825,excellent,rising,-83,99,63,52,28,159,9.09,Home Loans
843,12,60645619,excellent,rising,71,100,69,73,37,157,9.07,Fixed Deposits
636,9,3071352,poor,rising,24,42,35,-99,43,45,7.95,Home Loans
463,15,23690900,poor,rising,-66,95,87,-97,45,64,8.14,Home Loans
829,5,10637491,excellent,stable,61,-6,81,72,-14,194,9.44,Home Loans
371,15,38920694,good,rising,-59,72,53,-3,36,99,8.49,Fixed Deposits
698,10,27498650,good,rising,2,54,78,-18,47,163,9.13,Home Loans
669,19,38207687,excellent,falling,22,88,54,91,-36,219,9.69,Home Loans
475,2,70484039,excellent,stable,-92,-14,92,93,2,81,8.31,Home Loans
626,8,96201242,poor,falling,4,41,61,-89,-28,-11,8.08,Home Loans
553,14,70301721,good,rising,-8,79,92,-17,36,182,9.32,Home Loans
543,12,84990501,excellent,stable,19,68,99,60,-24,222,9.72,Home Loans
896,9,75601921,good,rising,73,40,88,19,36,256,10.06,Home Loans
635,19,57420772,good,rising,20,51,72,5,31,179,9.29,Home Loans
406,12,45049196,poor,stable,-82,61,82,-100,13,-26,8.2,Home Loans
652,16,52118756,excellent,rising,-12,98,65,84,42,277,10.27,Fixed Deposits
512,6,75517453,poor,rising,-24,45,99,-58,50,112,8.62,Home Loans
368,5,87190553,excellent,stable,-90,-23,93,64,-2,42,7.92,Fixed Deposits
719,12,10745429,good,stable,0,57,60,-19,-14,84,8.34,Fixed Deposits
613,16,48290667,good,stable,-18,86,57,2,-8,119,8.69,Home Loans
462,14,71941635,excellent,rising,-98,73,82,97,30,184,9.34,Home Loans
837,3,3795038,excellent,rising,64,23,40,55,32,214,9.64,Fixed Deposits
676,14,56789800,poor,rising,19,74,83,-81,49,144,8.94,Fixed Deposits
891,13,23553652,good,falling,89,74,70,-2,-34,197,9.47,Fixed Deposits
414,10,25824018,excellent,falling,-88,63,87,91,-36,117,8.67,Fixed Deposits
641,3,76099690,excellent,rising,-10,20,66,85,36,197,9.47,Fixed Deposits
374,2,95086808,excellent,rising,-79,10,98,87,31,147,8.97,Home Loans
898,1,55649177,excellent,stable,82,-11,83,61,3,218,9.68,Home Loans
350,19,55288768,poor,rising,-99,81,100,-98,50,34,7.84,Fixed Deposits
898,9,15642257,good,falling,94,26,90,2,-30,182,9.32,Home Loans
490,12,62881148,poor,stable,-72,70,52,-89,-1,-40,8.16,Home Loans
537,19,19596852,excellent,rising,20,53,73,65,37,248,9.98,Home Loans
477,17,64366939,good,rising,-67,78,71,18,36,136,8.86,Home Loans
550,15,21921611,excellent,stable,-10,98,59,64,22,233,9.83,Fixed Deposits
476,10,50753391,good,rising,-87,78,54,5,49,99,8.49,Fixed Deposits
606,9,61530835,excellent,stable,13,47,90,70,-7,213,9.63,Home Loans
896,8,71379706,excellent,rising,95,27,80,67,34,139,8.89,Home Loans
543,11,61870806,good,rising,24,70,73,22,47,236,9.86,Home Loans
453,18,72839459,excellent,stable,-52,65,95,55,-10,153,9.03,Fixed Deposits
884,0,6025715,good,rising,54,18,35,-9,36,134,8.84,Home Loans
614,17,76067003,good,rising,17,69,100,-3,27,210,9.6,Fixed Deposits
733,13,90850617,good,rising,-8,84,97,9,28,210,9.6,Fixed Deposits
609,0,20898141,poor,stable,22,-21,63,-83,-2,-21,7.77,Home Loans
763,16,14250007,excellent,stable,75,97,95,60,7,269,10.19,Fixed Deposits
707,10,85034304,excellent,rising,-16,75,53,72,28,212,9.62,Fixed Deposits
424,19,13846427,poor,stable,-95,56,57,-84,-22,-88,7.71,Home Loans
704,14,94993906,good,rising,-12,65,56,-20,27,116,8.66,Fixed Deposits
537,3,17139837,excellent,rising,-24,-9,84,73,42,166,9.16,Fixed Deposits
639,14,24721819,poor,stable,1,51,81,-51,24,106,8.56,Fixed Deposits
394,13,12147477,excellent,stable,-92,61,71,86,-18,108,8.58,Home Loans
432,0,44609481,excellent,rising,-88,-13,71,65,32,67,8.17,Fixed Deposits
472,8,83913780,excellent,rising,-80,29,95,78,31,153,9.03,Fixed Deposits
707,6,53389389,excellent,rising,18,40,92,78,32,260,10.1,Home Loans
877,10,55008051,excellent,falling,51,77,75,91,-26,268,10.18,Fixed Deposits
415,1,92155534,excellent,rising,-98,-18,100,77,40,101,8.51,Home Loans
724,1,3055490,excellent,rising,-13,2,28,65,27,109,8.59,Fixed Deposits
511,5,12857038,excellent,rising,-5,20,78,52,39,184,9.34,Home Loans
729,18,37457140,excellent,rising,7,57,53,91,42,250,10.0,Home Loans
707,19,10374994,good,stable,-6,78,80,-2,-15,135,8.85,Fixed Deposits
537,13,34919695,excellent,rising,10,67,71,67,47,262,10.12,Home Loans
671,2,59567618,excellent,stable,-8,18,57,97,8,172,9.22,Home Loans
799,6,21955098,excellent,rising,74,35,70,66,43,288,10.38,Home Loans
823,6,66838086,excellent,rising,94,40,64,98,40,125,8.75,Home Loans
362,3,69422761,excellent,rising,-63,0,97,59,30,123,8.73,Fixed Deposits
533,4,21025564,excellent,rising,-1,-4,53,86,33,167,9.17,Home Loans
460,16,751844,good,rising,-63,64,34,-1,39,73,8.23,Fixed Deposits
857,3,59760863,good,stable,64,-13,54,10,-17,98,8.48,Fixed Deposits
639,12,62398603,poor,stable,24,71,85,-54,3,129,8.79,Fixed Deposits
644,15,32235047,good,rising,-9,70,51,22,34,168,9.18,Fixed Deposits
800,15,6400181,excellent,rising,95,99,42,72,26,163,9.13,Home Loans
564,1,47168181,excellent,rising,10,-2,57,99,39,203,9.53,Fixed Deposits
376,17,94684996,good,stable,-72,50,96,-7,7,74,8.24,Home Loans
580,0,47143544,excellent,falling,7,3,53,59,-45,77,8.27,Home Loans
670,17,69852889,excellent,falling,6,50,62,60,-28,150,9.0,Home Loans
582,7,3192422,excellent,stable,-18,25,38,90,-13,122,8.72,Fixed Deposits
786,10,9113356,good,rising,92,58,33,-21,44,206,9.56,Fixed Deposits
882,14,94233456,poor,stable,62,70,77,-95,-19,95,8.45,Fixed Deposits
752,15,98804584,poor,rising,66,63,87,-98,49,167,9.17,Home Loans
402,16,33436065,excellent,stable,-80,77,61,94,-9,143,8.93,Fixed Deposits
662,16,54749422,excellent,rising,-12,67,77,87,43,262,10.12,Home Loans
630,11,62433458,poor,rising,-1,82,62,-90,45,98,8.48,Fixed Deposits
380,9,64673041,good,rising,-52,44,70,22,47,131,8.81,Fixed Deposits
686,19,70521722,excellent,rising,-2,92,87,92,45,299,10.49,Fixed Deposits
532,5,92606223,good,stable,7,-24,75,16,23,97,8.47,Home Loans
372,7,28442410,good,stable,-93,43,74,22,-25,21,7.71,Home Loans
893,12,56066599,poor,falling,77,83,71,-77,-34,120,8.7,Home Loans
795,1,26605743,good,falling,68,-2,100,20,-27,159,9.09,Home Loans
423,18,13571204,excellent,rising,-90,68,57,97,31,163,9.13,Fixed Deposits
359,9,26792089,good,rising,-91,26,86,0,27,48,7.98,Fixed Deposits
833,3,5889932,poor,stable,50,-20,32,-52,10,20,7.7,Home Loans
805,11,17385115,good,falling,54,64,94,0,-37,175,9.25,Home Loans
509,17,72046896,good,rising,-10,60,71,-2,48,167,9.17,Home Loans
363,6,96728883,poor,rising,-81,50,62,-61,36,6,7.56,Fixed Deposits
527,19,27811468,good,rising,-6,65,86,-22,31,154,9.04,Fixed Deposits
761,3,84730647,excellent,falling,77,-5,63,98,-28,205,9.55,Home Loans
402,6,78756321,good,falling,-96,46,67,-16,-37,-36,7.57,Home Loans
757,9,25304768,good,rising,97,27,96,8,46,274,10.24,Home Loans
371,14,35933140,excellent,falling,-98,52,82,93,-26,103,8.53,Home Loans
379,11,35266061,excellent,rising,-71,100,56,78,46,209,9.59,Home Loans
609,0,94460375,good,rising,-3,-5,59,0,37,88,8.38,Fixed Deposits
554,19,8821721,excellent,stable,8,92,50,68,23,241,9.91,Home Loans
408,17,19278840,good,rising,-52,55,79,-5,29,106,8.56,Fixed Deposits
820,15,76014050,excellent,rising,77,74,83,68,32,-97,8.14,Fixed Deposits
815,4,88572430,poor,falling,50,15,94,-61,-40,58,8.08,Fixed Deposits
361,18,44987203,excellent,stable,-53,86,52,87,4,176,9.26,Home Loans
639,3,4072633,excellent,falling,1,4,32,68,-29,76,8.26,Fixed Deposits
703,5,55497310,excellent,rising,8,13,61,67,39,188,9.38,Fixed Deposits
424,16,7478088,good,rising,-70,69,28,-12,45,60,8.1,Fixed Deposits
790,6,35328273,excellent,rising,81,25,80,84,39,-53,7.76,Fixed Deposits
590,6,4299174,excellent,falling,-19,27,47,67,-26,96,8.46,Fixed Deposits
503,8,65121078,good,rising,17,35,57,2,47,158,9.08,Fixed Deposits
445,12,77743460,excellent,rising,-63,75,50,68,37,167,9.17,Home Loans
643,19,71834802,good,rising,8,70,84,-1,31,192,9.42,Fixed Deposits
558,13,50339915,good,stable,20,59,96,-11,23,187,9.37,Fixed Deposits
692,15,71420982,good,rising,-22,94,64,22,42,200,9.5,Fixed Deposits
437,8,97888997,excellent,rising,-82,27,77,98,36,156,9.06,Home Loans
739,14,36427991,good,rising,-4,92,61,-23,39,165,9.15,Home Loans
674,4,49348257,excellent,rising,3,15,50,72,50,190,9.4,Home Loans
506,17,70868278,poor,rising,8,92,60,-51,29,138,8.88,Home Loans
486,19,81773464,poor,rising,-67,90,100,-56,43,110,8.6,Home Loans
777,7,69732094,excellent,falling,94,37,86,61,-43,235,9.85,Fixed Deposits
801,14,90299218,excellent,rising,94,58,98,81,28,-4,7.6,Home Loans
490,8,69388515,excellent,rising,-98,38,51,100,47,138,8.88,Fixed Deposits
432,18,65616535,excellent,rising,-80,65,94,77,29,185,9.35,Home Loans
526,5,85069282,good,falling,12,23,84,8,-29,98,8.48,Home Loans
547,3,43392950,good,rising,-5,21,94,-25,47,132,8.82,Fixed Deposits
770,10,89623748,excellent,falling,66,77,57,59,-43,216,9.66,Home Loans
750,9,17521266,good,falling,3,35,80,24,-32,110,8.6,Home Loans
820,2,35952788,poor,rising,82,18,70,-74,43,139,8.89,Fixed Deposits
567,0,62334841,good,rising,13,4,94,-14,26,123,8.73,Home Loans
524,11,78812879,excellent,stable,0,60,52,94,-20,186,9.36,Fixed Deposits
372,14,74443462,good,stable,-94,78,74,10,24,92,8.42,Home Loans
584,14,36264432,good,stable,19,99,90,7,23,238,9.88,Home Loans
362,13,76766333,poor,falling,-92,61,77,-97,-34,-85,7.86,Fixed Deposits
450,6,6930354,excellent,rising,-83,32,26,70,49,94,8.44,Home Loans
885,16,96686840,excellent,stable,50,59,57,69,-9,226,9.76,Fixed Deposits
872,18,5447816,good,rising,60,84,25,24,39,232,9.82,Fixed Deposits
801,6,98099826,good,stable,71,44,70,-9,13,189,9.39,Home Loans
780,2,89645710,good,stable,81,10,64,20,11,186,9.36,Home Loans
882,2,19938607,excellent,rising,92,-13,57,83,46,265,10.15,Home Loans
642,17,12242906,good,rising,-16,76,89,-12,50,187,9.37,Fixed Deposits
450,19,92752939,excellent,rising,-52,89,71,59,49,216,9.66,Home Loans
851,13,37785419,excellent,rising,76,51,88,69,43,108,8.58,Home Loans
653,2,36597050,good,falling,23,2,69,9,-29,74,8.24,Fixed Deposits
889,6,59632319,excellent,stable,61,26,62,64,-19,194,9.44,Fixed Deposits
704,6,26957008,excellent,stable,4,45,75,88,-24,188,9.38,Home Loans
652,4,52680408,good,rising,-16,-20,88,1,39,92,8.42,Home Loans
845,2,46650233,good,rising,61,13,56,-11,46,165,9.15,Home Loans
576,17,75164808,excellent,rising,12,75,60,68,38,253,10.03,Fixed Deposits
585,14,79566421,good,rising,-5,85,80,0,30,190,9.4,Fixed Deposits
804,19,47965387,excellent,stable,76,89,83,61,-19,290,10.4,Home Loans
362,13,49748638,excellent,falling,-95,67,60,73,-42,63,8.13,Fixed Deposits
559,3,75848181,excellent,rising,12,16,73,85,47,233,9.83,Home Loans
746,7,46807086,excellent,stable,-18,44,74,82,-24,158,9.08,Fixed Deposits
449,12,80752691,poor,rising,-64,92,100,-96,44,76,8.26,Fixed Deposits
380,7,44764413,excellent,rising,-95,31,82,58,25,101,8.51,Home Loans
877,14,93849420,good,rising,83,54,78,14,42,271,10.21,Fixed Deposits
678,16,95559026,poor,stable,23,75,70,-87,18,99,8.49,Home Loans
515,4,4919627,poor,rising,14,-15,41,-55,31,16,7.66,Home Loans
808,19,94861283,excellent,rising,71,99,82,85,48,2,7.52,Home Loans
449,3,30437236,poor,stable,-72,-10,94,-76,-15,-79,7.66,Fixed Deposits
522,10,99005093,poor,stable,-17,68,55,-94,-14,-2,8.02,Fixed Deposits
511,17,51750831,excellent,rising,-5,54,86,83,42,260,10.1,Fixed Deposits
612,9,70715922,excellent,stable,6,31,51,92,11,191,9.41,Fixed Deposits
623,16,86480466,excellent,stable,-18,52,91,56,-25,156,9.06,Home Loans
352,14,93571553,good,rising,-58,74,79,5,49,149,8.99,Home Loans
377,5,41187064,good,stable,-91,-16,77,6,-25,-49,7.66,Fixed Deposits
675,15,62960123,excellent,rising,23,100,81,70,47,-71,8.5,Fixed Deposits
498,14,56067612,good,stable,-78,54,100,23,-17,82,8.32,Fixed Deposits
889,7,12907631,excellent,falling,69,29,76,64,-50,188,9.38,Home Loans
